clamp_magnitude,forward,forward_ci95,sideways,sideways_ci95,n_participants,ballistic_fraction,sample_percent,panel,path_type
18.870292887029287,-11.215684968707926,,6.449273127449411,,,0.2,20.0,Human,smoothed_path
19.573221757322173,-11.041443359784509,,6.5811150537768475,,,0.2,20.0,Human,smoothed_path
20.27615062761506,-10.862726831959979,,6.715826920251118,,,0.2,20.0,Human,smoothed_path
20.97907949790795,-10.679722896431638,,6.853085626864609,,,0.2,20.0,Human,smoothed_path
21.682008368200837,-10.492654910524198,,6.992527330332098,,,0.2,20.0,Human,smoothed_path
22.384937238493723,-10.301782953503414,,7.1337475184804555,,,0.2,20.0,Human,smoothed_path
23.08786610878661,-10.107404260399004,,7.276301710835646,,,0.2,20.0,Human,smoothed_path
23.790794979079497,-9.909853156222253,,7.419706845085981,,,0.2,20.0,Human,smoothed_path
24.493723849372383,-9.709500439447805,,7.56344339803907,,,0.2,20.0,Human,smoothed_path
25.19665271966527,-9.506752172779242,,7.7069582753932835,,,0.2,20.0,Human,smoothed_path
25.899581589958157,-9.302047851014782,,7.849668487268789,,,0.2,20.0,Human,smoothed_path
26.602510460251043,-9.095857930103216,,7.99096560633429,,,0.2,20.0,Human,smoothed_path
27.30543933054393,-8.888680717903734,,8.130220983072043,,,0.2,20.0,Human,smoothed_path
28.008368200836816,-8.681038645242309,,8.266791668987864,,,0.2,20.0,Human,smoothed_path
28.711297071129707,-8.473473954945355,,8.400026974310027,,,0.2,20.0,Human,smoothed_path
29.414225941422593,-8.266543865851418,,8.529275562981997,,,0.2,20.0,Human,smoothed_path
30.11715481171548,-8.060815287483035,,8.653892965666687,,,0.2,20.0,Human,smoothed_path
30.820083682008367,-7.856859178189929,,8.77324937218589,,,0.2,20.0,Human,smoothed_path
31.523012552301253,-7.655244654251604,,8.886737549392166,,,0.2,20.0,Human,smoothed_path
32.22594142259414,-7.456532968830015,,8.99378071984426,,,0.2,20.0,Human,smoothed_path
32.92887029288703,-7.261271487107582,,9.093840231547059,,,0.2,20.0,Human,smoothed_path
33.63179916317991,-7.069987786941936,,9.186422849861199,,,0.2,20.0,Human,smoothed_path
34.3347280334728,-6.883184012661492,,9.271087509606847,,,0.2,20.0,Human,smoothed_path
35.037656903765686,-6.7013316032206145,,9.347451378163605,,,0.2,20.0,Human,smoothed_path
35.74058577405857,-6.524866505099668,,9.415195098459627,,,0.2,20.0,Human,smoothed_path
36.44351464435146,-6.354184965592751,,9.474067103310706,,,0.2,20.0,Human,smoothed_path
37.146443514644346,-6.189639984206137,,9.523886918539846,,,0.2,20.0,Human,smoothed_path
