subsetSlug,deviceSubsetSlug,deviceSubsetLabel,syntheticId,metric,rmsDiffAcrossClampGrid,meanAbsDiffAcrossClampGrid,maxAbsDiffAcrossClampGrid
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0012,alpha_retention_minus_lr_times_w_proprioceptive,0.0007663892136476728,0.000713558517721008,0.0009703890774619417
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0012,w_visual,0.003708121192109708,0.002728195225175619,0.007087062899742758
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0012,w_proprioceptive,0.016742577177647922,0.01519756155908588,0.02227262410020836
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0012,w_motor_prior,0.019060662117489587,0.017685032834082657,0.023074020967789655
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0012,beta_lr_times_w_visual,0.0014091066906305673,0.000849864827375248,0.003070313984234671
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0012,alpha_retention_minus_lr_times_w_proprioceptive,0.0005708358021063533,0.000454058271095209,0.0009291744927000245
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0013,w_visual,0.0005074996842124108,0.0004128290443526205,0.0009344832012103677
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0013,w_proprioceptive,0.0016292408436312422,0.0014451551001143786,0.002189691561979401
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0013,w_motor_prior,0.0013773983807082077,0.0010323260557617373,0.002121072669452162
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0013,beta_lr_times_w_visual,0.004476689064970242,0.0033015174225518164,0.007746696542120013
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0013,alpha_retention_minus_lr_times_w_proprioceptive,0.0033242626956909056,0.0032086926843242075,0.0041187867644243426
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0013,w_visual,0.002150678276529237,0.0016336971540740243,0.003495025377226957
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0013,w_proprioceptive,0.005457182919014197,0.005352674680645004,0.006079049430215033
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0013,w_motor_prior,0.004319376494022293,0.003718977526571002,0.005894547716219833
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0013,beta_lr_times_w_visual,0.002921597323211279,0.0019357357049066468,0.006000921474750426
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0013,alpha_retention_minus_lr_times_w_proprioceptive,0.0063860320073098244,0.0062035719297986736,0.007531681562952808
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0014,w_visual,0.0015759833008728206,0.0011106655509746516,0.00335145689188987
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0014,w_proprioceptive,0.0006932240262761957,0.0006609415267281063,0.0010429032036650705
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0014,w_motor_prior,0.0021442017907774766,0.001468854030590134,0.0043943600955548695
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0014,beta_lr_times_w_visual,0.0005441115405137348,0.0004137400885999738,0.0010782347507712897
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0014,alpha_retention_minus_lr_times_w_proprioceptive,6.539392567285264e-05,4.727978389656995e-05,0.00013612297681264707
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0014,w_visual,0.0031015871710973536,0.0021245070989579506,0.0063138482630772375
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0014,w_proprioceptive,0.000403518650346573,0.00035830357776258075,0.0005516305286716143
