subsetSlug,subsetLabel,syntheticId,model,parameter,trueValue,recoveredValue,error,absError
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,MeanTimeseriesBaseBCC,lr,0.2637646855520695,0.2551121218888364,-0.008652563663233082,0.008652563663233082
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,MeanTimeseriesBaseBCC,propVar_mouse,762.8803537425474,802.9594669191205,40.07911317657306,40.07911317657306
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,MeanTimeseriesBaseBCC,propVar_trackpad,338.18963943451513,345.97548912162716,7.785849687112034,7.785849687112034
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,MeanTimeseriesBaseBCC,visVarSlope,0.3565615430353265,0.3573769615293748,0.0008154184940483145,0.0008154184940483145
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,MeanTimeseriesBaseBCC,retention,0.9835267375381641,0.9829979355629541,-0.0005288019752099915,0.0005288019752099915
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,MeanTimeseriesBaseBCC,lr,0.04429201355135965,0.04503662787397518,0.0007446143226155291,0.0007446143226155291
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0010,MeanTimeseriesBaseBCC,propVar_mouse,329.8350007507898,376.571985599028,46.736984848238194,46.736984848238194
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0010,MeanTimeseriesBaseBCC,propVar_trackpad,172.57129708358505,197.90323611336987,25.33193902978482,25.33193902978482
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0010,MeanTimeseriesBaseBCC,visVarSlope,0.5560000524640842,0.5804256340830376,0.024425581618953363,0.024425581618953363
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0010,MeanTimeseriesBaseBCC,retention,0.9826112704785642,0.9816445046883409,-0.0009667657902233673,0.0009667657902233673
