series_id,series_label,source_paper,source_year,source_doi,source_experiment,group_id,source_file,subject_id,perturbation_size_deg,extent_window,subject_mean_extent_deg
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s04,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,22.08456587868485
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s05,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,12.307174750976392
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s06,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,11.919707754341065
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s07,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,16.729000787624727
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s08,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,21.028595532784674
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s09,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,19.24622966075304
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s10,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,28.176643072887007
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s11,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,7.7915861690203645
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s12,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,22.7995803161842
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s13,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,27.42221947086086
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s14,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,18.885268983064776
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s15,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,34.89405578046498
