n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,phase,clamp_magnitude,n_participants,measure
49,19.96995167294327,21.970309757911835,3.1386156797016906,13.659341896510648,26.280561449375895,22.837332534790043,5.369483184814444,33.66574666798114,-52.73483772277832,56.34280853271484,Late adaptation,7,49,Late adaptation mean
48,22.54494982529432,29.228809495771287,4.218815257618961,14.057788251600979,31.032111398987663,24.630976867675788,17.241379308700562,38.747762233018875,-137.27445023357868,61.27809074521065,Late adaptation,8,48,Late adaptation mean
49,27.499537829568194,21.456463722542594,3.0652091032203708,21.336521867247114,33.66255379188927,31.332957458496093,10.682124090194703,42.11959284543991,-23.83285651206969,81.47478513717651,Late adaptation,10,49,Late adaptation mean
50,28.984733754349982,26.938527058153273,3.809683031599495,21.32888907273619,36.640578435963775,26.83482704162597,14.46498665288091,43.30231889039278,-34.09551830291748,132.2570373535156,Late adaptation,15,50,Late adaptation mean
49,27.88885095038471,20.34397420687049,2.9062820295529272,22.0453792863069,33.73232261446252,31.752529275417327,13.233784484863282,41.08287048339844,-23.950027465820312,72.09441776275635,Late adaptation,20,49,Late adaptation mean
50,29.881638712866437,24.927725565767904,3.52531275742235,22.797257492414687,36.96601993331819,32.519920844170784,12.740776538848879,44.67684866599738,-28.555058670043945,108.03876056671145,Late adaptation,25,50,Late adaptation mean
49,29.002006798110006,26.42709123470721,3.7752987478153157,21.411259915337293,36.59275368088272,26.395584106445312,14.238052368164055,40.12005157470704,-9.906838989257812,164.64988327026367,Late adaptation,30,49,Late adaptation mean
50,28.700760029727043,29.220898384548445,4.1324590800154475,20.39627259407812,37.005247465375966,30.255204296112062,16.040835863351823,43.54437789916992,-52.9223137140274,132.6511001586914,Late adaptation,35,50,Late adaptation mean
49,29.77253652258234,26.08639954469358,3.7266285063847975,22.279647718891788,37.26542532627289,31.905854797363283,14.819193840026855,40.44815673828125,-12.18921966552734,146.65048484802247,Late adaptation,40,49,Late adaptation mean
50,26.287317375534702,31.632374554144565,4.473493310453683,17.297495995383677,35.277138755685726,31.814576094597573,12.312332653999327,45.87219324111938,-122.32219161987304,78.62461547851562,Late adaptation,45,50,Late adaptation mean
