n,median,ci_low,ci_high,pointer,clamp_magnitude,n_participants
23,8.381243446641701,6.532365000033744,10.325598692585812,Trackpad,3,23
18,13.488783678220848,7.2317137124942565,25.449390836129314,Trackpad,4,18
23,8.774896824578914,6.490501258399226,9.888367644647175,Trackpad,5,23
18,21.162548615899404,9.406914332894328,44.752233648650986,Trackpad,6,18
23,8.902530694255011,7.112336233519143,13.24369550219329,Trackpad,7,23
18,11.646406424804962,9.705428596760493,35.58924230148552,Trackpad,8,18
23,9.441362051914812,6.848959891677051,11.335974550472244,Trackpad,10,23
23,8.040786203647816,5.690192102577574,16.290578188218895,Trackpad,15,23
26,9.350390563447679,6.982264680266195,13.619178868349575,Trackpad,20,26
23,9.02834886154784,7.334101897849382,17.39001147468932,Trackpad,25,23
26,7.565754765524774,6.0157335539562755,11.337334531156522,Trackpad,30,26
23,11.268025086217817,7.768665563835307,36.72745266186472,Trackpad,35,23
26,7.360755324061891,6.162112286401884,8.400507306234676,Trackpad,40,26
23,11.220733870441135,6.188352782118881,38.52688936811094,Trackpad,45,23
26,10.134864153008323,7.295248247689901,12.132432601044862,Trackpad,50,26
16,8.582176782472436,4.882019783644453,11.483724375608928,Trackpad,55,16
15,6.534558752326612,5.024002737608125,16.584156651417743,Trackpad,60,15
16,5.776760413783027,4.804194187469246,11.698266233912534,Trackpad,65,16
15,6.136418126286311,4.723561245088976,23.890556388284725,Trackpad,70,15
16,6.85069600031467,5.262438638833849,11.01006188309032,Trackpad,75,16
15,6.758474389422652,5.037729074449728,15.365172277802682,Trackpad,80,15
16,6.430140821015884,4.917553469030732,7.492706406148794,Trackpad,85,16
15,6.496510397927242,4.689164125486465,10.209607288861353,Trackpad,90,15
24,7.339376850914474,5.751278417220758,10.124240316541531,Trackpad,95,24
18,6.137419103087097,5.394765908366318,7.740307417492534,Trackpad,100,18
24,8.207740837802026,5.495122185312823,16.62751460708915,Trackpad,105,24
18,5.8629593681147965,4.847162183765267,6.8850649620694035,Trackpad,110,18
24,8.203989528647478,5.471272269817925,9.857476588070377,Trackpad,115,24
18,6.800191523571394,6.119570853693778,17.376851148971554,Trackpad,120,18
24,8.652004699422017,6.710452030928894,14.207057935881613,Trackpad,125,24
18,7.1567091624480845,5.636353443007607,11.796728510797637,Trackpad,130,18
17,6.510018719111861,6.0865040816426506,9.735959780653532,Trackpad,135,17
22,6.7922005271109365,5.337574580435994,9.100055245565864,Trackpad,140,22
17,8.37280931456768,6.071247391710511,10.039833633467095,Trackpad,145,17
22,6.172804611851699,4.662256193893715,7.401854715545808,Trackpad,150,22
17,7.578785261864416,6.3032682664697,8.63679222166137,Trackpad,155,17
22,6.731617552415936,5.930189149882544,8.922801926037476,Trackpad,160,22
17,7.050035825093793,5.215604083461371,13.087769983038024,Trackpad,165,17
22,6.732464092711384,6.133725781445508,7.41249393853605,Trackpad,170,22
