ppid,clamp_magnitude,group,pointer,value
906737203476,60,6,Trackpad,6.492567253112793
994716872461,60,6,Trackpad,19.120113468170167
998236395651,60,6,Mouse,-9.339251232147216
104274630779,70,6,Mouse,39.19443740844728
11866547632,70,6,Trackpad,17.941151428222657
131377047859,70,6,Trackpad,18.03511047363281
132760789943,70,6,Mouse,-11.445980834960931
163470105268,70,6,Trackpad,16.628699684143065
164780952734,70,6,Trackpad,20.78588104248047
170080221025,70,6,Mouse,12.282161235809326
208917626878,70,6,Trackpad,21.250743103027343
232846173923,70,6,Trackpad,16.922564697265624
239901129854,70,6,Mouse,-6.145780446380376
261405949946,70,6,Mouse,28.250466918945314
285770176909,70,6,Mouse,32.94866695404052
31763185048,70,6,Mouse,17.42408599853516
349368817172,70,6,Mouse,38.68776321411133
400006499374,70,6,Trackpad,30.334320449829107
416004814207,70,6,Mouse,23.666434478759765
448455020785,70,6,Mouse,-11.314267158508303
472660400671,70,6,Mouse,45.72180633544922
479445978766,70,6,Mouse,23.491668891906734
486883807927,70,6,Mouse,16.886717987060543
503219471313,70,6,Mouse,38.153341674804686
516834058798,70,6,Trackpad,18.45878620147705
520643238443,70,6,Mouse,55.74744415283203
522924106102,70,6,Mouse,19.03934478759765
526791953481,70,6,Trackpad,20.99890375137329
554797971853,70,6,Trackpad,10.061183166503907
56767792906,70,6,Mouse,39.85231793820858
607647950528,70,6,Trackpad,-11.287395858764645
653112237341,70,6,Mouse,-9.58742904663086
690112326992,70,6,Mouse,47.88259582519531
698263481259,70,6,Mouse,68.05376358032227
698323606979,70,6,Mouse,8.407883453369141
70501195034,70,6,Mouse,25.25874896049499
712610918562,70,6,Mouse,33.939596557617186
720964792417,70,6,Mouse,-13.606107330322269
72586384601,70,6,Mouse,48.2910540625453
73180105537,70,6,Mouse,40.77864761352539
74249908328,70,6,Mouse,62.13204803466797
75729007134,70,6,Trackpad,12.367824935913086
804624028969,70,6,Mouse,23.962596917152403
812418627319,70,6,Mouse,37.60427446365357
830310877645,70,6,Mouse,-15.210623741149902
837611209368,70,6,Trackpad,-5.303843688964844
906737203476,70,6,Trackpad,19.569931030273438
994716872461,70,6,Trackpad,13.021810531616211
998236395651,70,6,Mouse,-1.4921127319335965
104274630779,80,6,Mouse,39.026648712158206
11866547632,80,6,Trackpad,38.61176884397864
131377047859,80,6,Trackpad,12.19307861328125
132760789943,80,6,Mouse,-14.175188446044922
163470105268,80,6,Trackpad,-1.5342067718505858
164780952734,80,6,Trackpad,-0.8091913223266601
