n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,pointer,clamp_magnitude,n_participants
23,23.41265988187946,30.562310037258026,6.372682169649512,10.196525959931147,36.628793803827776,23.01632919311524,1.9352428436279272,37.26792373657227,-28.555058670043945,108.03876056671145,Trackpad,25,23
26,17.630637061595912,15.28591751844816,2.9978150657591143,11.456521359640355,23.80475276355147,14.590060043334958,11.471013593673709,25.936443901062013,-9.906838989257812,51.98423957824707,Trackpad,30,26
23,29.655023138937747,30.399453476252447,6.338724229256084,16.509313675012855,42.80073260286264,26.38325138092041,16.34149698019028,41.85436172485352,-21.307799053192134,132.6511001586914,Trackpad,35,23
26,22.892927682682732,21.83809874016033,4.28280352368629,14.072328711783149,31.713526653582313,21.19990758299828,8.695493412017822,33.49313230514527,-12.18921966552734,79.76049485206605,Trackpad,40,26
23,18.707508318644503,38.24979282044735,7.975633137760084,2.1670575547609943,35.24795908252801,27.627622222900392,2.935261917114257,43.262363815307616,-122.32219161987304,64.93995666503906,Trackpad,45,23
26,18.392714834671754,19.575492994399394,3.8390700294862063,10.486002102225175,26.299427567118332,19.89617447853088,3.069829368591312,28.78768215179443,-22.21938524246216,61.094409954547885,Trackpad,50,26
16,16.641562041640285,15.488400176234947,3.8721000440587368,8.388376162369303,24.894747920911264,20.389347076416016,4.283727002143859,28.256487762928007,-14.257652282714838,35.67544651031494,Trackpad,55,16
15,16.027853091557816,25.186716537649563,6.5031822463975795,2.079914380380888,29.975791802734744,16.756288909912097,3.6164801597595218,23.687521076202394,-17.649027252197268,89.26419429779052,Trackpad,60,15
16,15.95890866070986,18.9909135048337,4.747728376208425,5.839365170799162,26.078452150620556,15.132644319534302,3.9389834403991704,27.268866252899173,-16.42191963195801,61.0891838312149,Trackpad,65,16
15,14.652378063201903,10.479330746498276,2.705751564039144,8.849118127837968,20.455637998565837,17.941151428222657,12.69481773376465,20.177906036376953,-11.287395858764643,30.334320449829107,Trackpad,70,15
16,17.37526099383831,14.819340914625151,3.704835228656288,9.478591629345019,25.271930358331602,16.524776077270502,6.127705645561215,30.10810699909925,-11.31899299621582,40.87574462890625,Trackpad,75,16
15,12.937926804373664,14.677158597192829,3.7896260544381892,4.809987290628165,21.065866318119163,12.19307861328125,0.6102873802185058,23.949264144897462,-5.0224039316177365,38.61176884397864,Trackpad,80,15
16,13.837244097888469,19.033393678368725,4.758348419592181,3.695064521333638,23.9794236744433,16.31273603439331,10.096917343139644,24.234982204437248,-30.01072311401368,41.69161682128906,Trackpad,85,16
15,7.954937963485717,9.289262530485798,2.3984772719413376,2.8107158393525253,13.099160087618909,7.183615493774414,0.8663524389266919,15.99544448852539,-6.70999755859375,20.75558471679688,Trackpad,90,15
