ppid,clamp_magnitude,base_sd,n_baseline,pointer
266126640839,4,6.523584554263006,10,Mouse
266126640839,6,9.204367693694829,10,Mouse
266126640839,8,3.7689820979638036,10,Mouse
270836319308,95,14.842752779401769,10,Trackpad
270836319308,105,4.579541676517565,10,Trackpad
270836319308,115,25.73911756089614,10,Trackpad
270836319308,125,6.013085990325643,10,Trackpad
272993694525,2,4.400688859002651,10,Trackpad
272993694525,4,8.317884964879736,10,Trackpad
272993694525,6,5.104140974856182,10,Trackpad
272993694525,8,27.163227570210896,10,Trackpad
277495261980,100,4.062191007077153,10,Mouse
277495261980,110,5.402213846774513,10,Mouse
277495261980,120,8.522836130380805,10,Mouse
277495261980,130,7.383714912030288,10,Mouse
281449537957,3,11.660395885680702,10,Trackpad
281449537957,5,6.942428838321125,10,Trackpad
281449537957,7,4.187028716475459,10,Trackpad
281449537957,10,7.229638557962018,10,Trackpad
283817955758,2,4.39617458171478,10,Trackpad
283817955758,4,4.354067797783727,10,Trackpad
283817955758,6,4.341729081989506,10,Trackpad
283817955758,8,5.944652651420264,10,Trackpad
284887481713,55,6.222621783183201,10,Mouse
284887481713,65,12.264469784440006,10,Mouse
284887481713,75,7.558161511787973,10,Mouse
284887481713,85,11.6707352486759,10,Mouse
285770176909,60,4.722395662855207,10,Mouse
285770176909,70,8.972224175337827,10,Mouse
285770176909,80,11.99668124063124,10,Mouse
285770176909,90,6.806170047841075,10,Mouse
286533593898,3,8.79174646099914,10,Mouse
286533593898,5,7.3921982279041245,10,Mouse
286533593898,7,33.52180098161973,10,Mouse
286533593898,10,10.694199182501835,10,Mouse
287971476791,15,5.607894084918505,10,Mouse
287971476791,25,8.914222573098584,10,Mouse
287971476791,35,5.824503804891396,10,Mouse
287971476791,45,7.155354219053919,10,Mouse
288731469074,100,91.02962843903961,10,Mouse
288731469074,110,88.46870678822216,10,Mouse
288731469074,120,93.64125151948546,10,Mouse
288731469074,130,91.128803539513,10,Mouse
290626679547,135,13.475220696510567,10,Mouse
