ppid,clamp_magnitude,group,value
47219052677,5,2,-0.9921264648437557
75254959287,5,2,0.738323974609375
141579159069,5,2,-1.3169708251953123
157286867732,5,2,-3.503193283081057
244346351129,5,2,3.5928131103515626
281449537957,5,2,-3.1385185241699207
286533593898,5,2,-1.1636779785156264
307390059111,5,2,-2.2104339599609375
314751828555,5,2,-3.060424041748047
340447094989,5,2,-0.6786664962768555
363396258093,5,2,-3.9496978759765624
372881010640,5,2,-1.7228393554687476
413611575961,5,2,-2.9042469024658204
424813729943,5,2,-0.14444584846496583
450325436890,5,2,2.3901123046875
453578034881,5,2,1.0640224456787108
455088283633,5,2,-1.5471076965332031
485655207419,5,2,-0.42228794097900424
490372725762,5,2,-1.0876129150390568
497830706648,5,2,8.746953964233398
499781516147,5,2,-1.5157005310058593
514699809951,5,2,0.03427886962890625
524084624601,5,2,-2.2654348373413082
526591815054,5,2,-1.2739799499511701
560719192726,5,2,-1.1262756347656306
568911038571,5,2,1.3734283447265623
571510386420,5,2,0.7596923828125
607190310023,5,2,-3.059838867187497
610091723036,5,2,-0.61709289550781
616859448142,5,2,-0.22951049804687784
662896639900,5,2,0.7331228911876707
665972822112,5,2,-0.07210867745535664
706570674898,5,2,-1.8147308349609375
711049351608,5,2,-1.5554534912109408
747682140674,5,2,-1.5031387329101562
758610083023,5,2,1.19769287109375
764955634018,5,2,5.06185302734375
781632843660,5,2,-15.55077934265137
788534438470,5,2,-0.7228851318359377
802470273105,5,2,0.8446678161621094
818668159889,5,2,2.178260803222656
841781280934,5,2,-2.341558837890625
856257066596,5,2,-0.10216522216796875
881636635866,5,2,-1.2717734158039093
928185260389,5,2,0.09367065429687785
982309131650,5,2,-0.2854812622070311
993634722428,5,2,-2.4422241210937536
18545178463,7,2,-2.052877807617186
42404767125,7,2,-1.6317581176757785
47219052677,7,2,-3.254726028442383
75254959287,7,2,-1.3649017333984361
141579159069,7,2,-2.6427894592285153
157286867732,7,2,-2.906619262695313
244346351129,7,2,4.695123291015628
281449537957,7,2,-3.3661514282226563
286533593898,7,2,-2.116534423828122
307390059111,7,2,-0.670448303222656
314751828555,7,2,-5.062963867187503
340447094989,7,2,4.796646118164065
363396258093,7,2,-3.7343444824218777
372881010640,7,2,-0.6175170898437502
413611575961,7,2,-4.58092041015625
424813729943,7,2,0.6106207847595229
450325436890,7,2,1.382931900024414
453578034881,7,2,0.5033721923828184
455088283633,7,2,-3.070877075195312
485655207419,7,2,-2.365032958984375
490372725762,7,2,-0.3278625488281193
497830706648,7,2,-5.3584114074707045
499781516147,7,2,-2.4204315185546816
514699809951,7,2,-1.3607872009277344
524084624601,7,2,-1.7606475830078125
526591815054,7,2,2.4465423583984345
560719192726,7,2,-2.206205749511716
568911038571,7,2,-1.9320297241210938
571510386420,7,2,-0.9533721923828125
607190310023,7,2,-2.485936546325689
610091723036,7,2,1.1691024780273451
616859448142,7,2,0.5158359527587898
662896639900,7,2,-0.3923044204711914
665972822112,7,2,0.28176661900111405
706570674898,7,2,-1.2150039672851591
711049351608,7,2,-2.099005126953125
747682140674,7,2,-0.49102478027343716
758610083023,7,2,-1.71962890625
764955634018,7,2,-0.6380105495452874
781632843660,7,2,0.9625095367431641
788534438470,7,2,-16.722716522216796
802470273105,7,2,9.529590606689453
818668159889,7,2,-2.8220062255859375
841781280934,7,2,-1.9023193359374997
856257066596,7,2,-0.4423812866210966
881636635866,7,2,-0.6642471313476591
928185260389,7,2,-0.007781982421875
982309131650,7,2,1.6219924926757812
993634722428,7,2,-4.026895141601558
18545178463,10,2,0.8355606079101563
42404767125,10,2,-1.6842620849609375
47219052677,10,2,-1.604689025878909
75254959287,10,2,0.1920307159423828
141579159069,10,2,-1.7159393310546875
157286867732,10,2,-3.6994293212890623
244346351129,10,2,16.540452766418458
281449537957,10,2,-1.9028152465820256
286533593898,10,2,-0.5671600341796875
307390059111,10,2,-2.250133514404297
314751828555,10,2,-6.122235488891602
340447094989,10,2,6.2445968627929656
363396258093,10,2,-3.24417724609375
372881010640,10,2,-1.3525335311889655
413611575961,10,2,-1.0656558990478515
424813729943,10,2,-0.5563599854707718
450325436890,10,2,-0.026214599609375
453578034881,10,2,0.2988616943359375
455088283633,10,2,0.960125732421875
485655207419,10,2,-0.7521003723144517
490372725762,10,2,-1.11551513671875
497830706648,10,2,-2.6566986083984374
499781516147,10,2,-3.7576751708984375
514699809951,10,2,-3.242132568359375
524084624601,10,2,-0.8697998046875
526591815054,10,2,-0.3478094100952148
560719192726,10,2,-0.5380966186523437
568911038571,10,2,-2.224224853515625
571510386420,10,2,-2.9095474243164063
607190310023,10,2,-3.95513916015625
610091723036,10,2,-2.002270317077637
616859448142,10,2,-0.3308197021484375
662896639900,10,2,-0.02910308837890625
665972822112,10,2,-0.5782860279083266
706570674898,10,2,-1.6060943603515625
711049351608,10,2,-1.5096830368041991
747682140674,10,2,-0.2858013153076172
758610083023,10,2,-0.5445972442626953
764955634018,10,2,0.3425506591796873
781632843660,10,2,-8.751937103271484
788534438470,10,2,2.1921813964843753
802470273105,10,2,12.775726318359379
818668159889,10,2,-1.9084304809570312
841781280934,10,2,-2.268849182128906
856257066596,10,2,-0.2649116516113281
881636635866,10,2,-0.09456748962402309
928185260389,10,2,-0.7141792297363281
982309131650,10,2,0.7473999023437499
993634722428,10,2,-2.142842102050783
37013057852,15,3,-0.8875778198242242
62472867313,15,3,-4.337844848632807
81350229447,15,3,-0.9574722290039095
96435749437,15,3,-0.7849220633506825
139654613099,15,3,-2.532947540283204
141351339407,15,3,-0.8397552490234375
158240405377,15,3,-2.1281005859375
193100401433,15,3,1.5447296142578124
219942741794,15,3,-3.1841644287109374
263290655799,15,3,-2.2515419006347654
287971476791,15,3,-0.38848724365234943
306810469599,15,3,0.8303623199462888
311279476853,15,3,-1.8048004150390624
311518904287,15,3,-0.6770842075347897
370640644570,15,3,-18.84450454711914
383627469185,15,3,0.8967773437499998
390771680977,15,3,0.8954032897949219
398109816713,15,3,-0.03516540527343466
401611892739,15,3,-0.6774246215820284
435751852346,15,3,-2.1549072265625
456157590029,15,3,9.429986572265625
466178274480,15,3,-2.3417266845703124
510743529302,15,3,-0.5070037841796875
519645490683,15,3,-2.127076244354248
549389360938,15,3,-2.3900527954101562
564938298193,15,3,1.7772182464599608
572670224355,15,3,-0.7644592285156252
577084825607,15,3,-6.079273796081543
591787668410,15,3,3.444935607910156
624015980400,15,3,-1.3152542114257812
625553694320,15,3,-1.102397155761722
657277573598,15,3,0.03300895690917969
669404158834,15,3,-2.00531005859375
676818776410,15,3,-0.5249122619628891
726770222419,15,3,-1.4966796875
748730017803,15,3,-4.64835205078125
767939159879,15,3,-1.5694122314453125
774480707012,15,3,-2.486283874511719
787634621141,15,3,-0.6001762390136716
797606508946,15,3,8.392922973632814
822554411599,15,3,-3.694047546386719
871067946078,15,3,6.882151031494141
914192695869,15,3,3.8485259056091308
917476948583,15,3,0.5494293212890569
922666165279,15,3,-2.677439880371094
924573419382,15,3,-19.800823974609376
928426922298,15,3,-4.981265258789063
950401282636,15,3,-1.3457557678222656
964304241118,15,3,-0.1523696899414034
986917736241,15,3,-0.23252029418945455
37013057852,25,3,-0.6978187561035156
62472867313,25,3,-0.5973556518554701
81350229447,25,3,-0.5936737060546882
96435749437,25,3,0.6531707763671875
139654613099,25,3,-0.9286102294921867
141351339407,25,3,-2.817321300506592
158240405377,25,3,-3.977291870117189
193100401433,25,3,-0.9161468505859378
219942741794,25,3,-1.1597091674804745
263290655799,25,3,0.04182739257812642
287971476791,25,3,-0.641558837890625
306810469599,25,3,-2.1824264526367188
311279476853,25,3,-1.17513427734375
311518904287,25,3,-1.04234619140625
370640644570,25,3,-0.2571456909179659
383627469185,25,3,0.41228179931640624
390771680977,25,3,0.63746337890625
398109816713,25,3,1.676400852203369
401611892739,25,3,-35.558912658691405
435751852346,25,3,0.7158523559570314
456157590029,25,3,-4.039465332031247
466178274480,25,3,-3.1998748779296875
510743529302,25,3,-2.7980056762695313
519645490683,25,3,-13.199209594726558
549389360938,25,3,-1.7003463745117162
564938298193,25,3,-0.6571182250976563
572670224355,25,3,-1.8835700035095215
577084825607,25,3,-3.4008270263671876
591787668410,25,3,-5.523807525634766
624015980400,25,3,0.255322265625
625553694320,25,3,-1.8415084838867188
657277573598,25,3,0.6134185791015625
669404158834,25,3,-2.3367002487182615
