measure,group,assigned_clamp_magnitudes,pointer,n,mean,sd,sem,t_critical,ci_low,ci_high
Washout STL,2,"3, 5, 7, 10",Mouse,26,-0.431940916127392,1.954701793513071,0.38334856109146015,2.0595385527532972,-1.2214620568377568,0.35758022458297284
Washout STL,2,"3, 5, 7, 10",Trackpad,23,-0.9138759908468826,2.7755365848594185,0.5787393846859361,2.073873067904025,-2.1141080140823925,0.2863560323886273
Washout STL,3,"15, 25, 35, 45",Mouse,27,-1.4439784699568041,2.3811441629882135,0.45825140782685037,2.0555294386428735,-2.3859277290444365,-0.5020292108691718
Washout STL,3,"15, 25, 35, 45",Trackpad,23,-1.211252309187599,2.5379152742993054,0.5291919163470199,2.073873067904025,-2.308729172252203,-0.11377544612299473
Washout STL,4,"20, 30, 40, 50",Mouse,23,-1.2664196033462667,1.761597875996957,0.367318548917693,2.073873067904025,-2.0281916492882575,-0.504647557404276
Washout STL,4,"20, 30, 40, 50",Trackpad,26,-0.5912421008715264,1.8953695533665014,0.3717125514648243,2.0595385527532972,-1.3567984311556263,0.17431422941257335
Washout STL,5,"55, 65, 75, 85",Mouse,32,-1.9563176861964169,4.090916186280723,0.7231786441462271,2.0395134463964086,-3.4312502550793704,-0.4813851173134631
Washout STL,5,"55, 65, 75, 85",Trackpad,16,-0.36869253814220426,1.7751002218041776,0.4437750554510444,2.1314495455597755,-1.314576678414097,0.5771916021296885
Washout STL,6,"60, 70, 80, 90",Mouse,31,-1.4790163711194069,1.9035285353092672,0.34188381750080543,2.0422724563012378,-2.177236274856421,-0.7807964673823928
Washout STL,6,"60, 70, 80, 90",Trackpad,15,-0.3775901120901112,0.9453093071321917,0.24407781356919003,2.144786687917804,-0.9010849574493934,0.14590473326917108
Washout STL,7,"95, 105, 115, 125",Mouse,25,-0.23412308824062336,1.2315544614128526,0.24631089228257053,2.0638985616280245,-0.7424837845359359,0.2742376080546892
Washout STL,7,"95, 105, 115, 125",Trackpad,24,-0.4618246356646219,1.1887092886640982,0.2426442674778164,2.0686576104190486,-0.963772546207162,0.04012327487791828
Washout STL,8,"100, 110, 120, 130",Mouse,30,-1.1823389403025313,2.0275594489026507,0.370180015615575,2.045229642132704,-1.9394420811646524,-0.4252357994404101
Washout STL,8,"100, 110, 120, 130",Trackpad,18,-0.40156982739766445,0.6842878775880566,0.161288199508755,2.1098155778333156,-0.7418581832419235,-0.06128147155340541
Washout STL,9,"135, 145, 155, 165",Mouse,31,0.43206002721863407,1.4489151033790078,0.2602328347535425,2.0422724563012378,-0.09940632342371719,0.9635263778609853
Washout STL,9,"135, 145, 155, 165",Trackpad,17,-0.06549683178172386,1.1527569186092528,0.2795846197698523,2.1199052992212546,-0.6581897488125933,0.5271960852491456
Washout STL,10,"140, 150, 160, 170",Mouse,27,-0.10270602173275417,1.7151685471981257,0.33008434081013904,2.0555294386428735,-0.7812041015030222,0.575792058037514
Washout STL,10,"140, 150, 160, 170",Trackpad,22,0.128222912008112,0.7668068548451878,0.16348377075938664,2.0796138447276795,-0.21176020105139462,0.46820602506761866
