ppid,clamp_magnitude,baseline_bias,pointer
154695465695,115,-16.145764160156247,Trackpad
154695465695,125,15.150848388671857,Trackpad
156593167223,20,-13.872671508789063,Mouse
156593167223,30,0.935536193847662,Mouse
156593167223,40,4.190488052368164,Mouse
156593167223,50,-24.45870018005371,Mouse
157286867732,3,6.378378295898432,Trackpad
157286867732,5,-0.17440948486328053,Trackpad
157286867732,7,-1.3183547973632925,Trackpad
157286867732,10,6.265957641601562,Trackpad
158240405377,15,-6.177819061279294,Mouse
158240405377,25,5.5587818145751955,Mouse
158240405377,35,-3.9150360107421847,Mouse
158240405377,45,-8.9943359375,Mouse
163470105268,60,-8.000729370117188,Trackpad
163470105268,70,-1.0003387451171875,Trackpad
163470105268,80,-1.4596038818359376,Trackpad
163470105268,90,-0.7192245483398381,Trackpad
163796231616,2,-2.2532787322998042,Mouse
163796231616,4,-10.16077270507812,Mouse
163796231616,6,11.304406738281239,Mouse
163796231616,8,-7.425418472290036,Mouse
164780952734,60,-13.91228942871094,Trackpad
164780952734,70,16.152682495117187,Trackpad
164780952734,80,-5.297887802124024,Trackpad
164780952734,90,8.509738159179687,Trackpad
16847613267,140,-3.025662231445312,Mouse
16847613267,150,4.388539123535165,Mouse
16847613267,160,3.7069305419921874,Mouse
16847613267,170,-4.707220458984375,Mouse
170080221025,60,-18.091632843017578,Mouse
170080221025,70,-5.547534942626953,Mouse
170080221025,80,0.9774291992187498,Mouse
170080221025,90,-22.67039184570313,Mouse
1721418462,135,2.4298980712890623,Trackpad
1721418462,145,4.0462158203125,Trackpad
1721418462,155,2.9001144409179687,Trackpad
1721418462,165,-6.386634826660157,Trackpad
172440417576,95,3.72140350341797,Mouse
172440417576,105,-7.483187103271485,Mouse
172440417576,115,0.4937835693359377,Mouse
172440417576,125,-4.06864929199219,Mouse
175094375154,55,-4.313777923583983,Mouse
175094375154,65,11.313235473632806,Mouse
175094375154,75,7.172261810302736,Mouse
175094375154,85,-4.758505249023437,Mouse
177578993607,55,6.772787475585938,Trackpad
177578993607,65,-7.104071044921869,Trackpad
177578993607,75,1.1949249267578115,Trackpad
177578993607,85,3.0786788940429695,Trackpad
183824516134,140,6.150168991088868,Mouse
183824516134,150,-11.180834197998047,Mouse
183824516134,160,15.341622924804682,Mouse
183824516134,170,-23.25860137939453,Mouse
18545178463,3,-34.065066385269155,Trackpad
18545178463,5,9.448302459716796,Trackpad
18545178463,7,-9.740583801269532,Trackpad
18545178463,10,15.403182983398438,Trackpad
186217949958,100,10.21560668945313,Mouse
186217949958,110,4.969261932373047,Mouse
186217949958,120,-7.876336669921867,Mouse
186217949958,130,-2.307263946533203,Mouse
193100401433,15,1.0402709960937506,Mouse
193100401433,25,5.108625793457032,Mouse
193100401433,35,-9.210847854614258,Mouse
193100401433,45,-2.2145675659179718,Mouse
19706308376,55,3.3334175109863295,Mouse
19706308376,65,14.438339233398438,Mouse
19706308376,75,2.0517276763916015,Mouse
19706308376,85,4.906263732910159,Mouse
199718243908,140,-0.989300537109375,Trackpad
199718243908,150,2.0797470092773453,Trackpad
199718243908,160,-4.838517189025879,Trackpad
199718243908,170,-7.346865844726563,Trackpad
204680910799,20,-4.166986083984375,Mouse
204680910799,30,-8.44351501464844,Mouse
204680910799,40,9.905104064941408,Mouse
204680910799,50,-3.0863998413085936,Mouse
205160485114,55,3.265989685058588,Trackpad
205160485114,65,3.675030517578125,Trackpad
205160485114,75,-8.741280746459962,Trackpad
205160485114,85,17.141201782226563,Trackpad
206032965332,95,0.9321929931640653,Trackpad
206032965332,105,-6.117626953125,Trackpad
206032965332,115,17.630201721191412,Trackpad
206032965332,125,10.683673286437989,Trackpad
208917626878,60,1.0741836547851307,Trackpad
208917626878,70,0.6475387573242203,Trackpad
208917626878,80,-2.0361175537109375,Trackpad
208917626878,90,8.120913696289064,Trackpad
211178143741,20,-16.220445251464845,Mouse
211178143741,30,6.135873413085936,Mouse
211178143741,40,4.342398452758789,Mouse
211178143741,50,-2.306793403625489,Mouse
211349502438,20,24.316950988769538,Mouse
211349502438,30,11.900878906250005,Mouse
211349502438,40,8.670072746276855,Mouse
211349502438,50,26.087884521484376,Mouse
211445384891,100,8.588661193847656,Mouse
211445384891,110,1.1627155303955097,Mouse
211445384891,120,0.39645690917968734,Mouse
211445384891,130,3.661251831054682,Mouse
211914503015,140,14.06842651367187,Trackpad
211914503015,150,-8.250259399414062,Trackpad
211914503015,160,-2.5470893859863275,Trackpad
211914503015,170,0.7111511230468863,Trackpad
214060187805,135,-7.493447875976562,Mouse
214060187805,145,-1.094476318359375,Mouse
214060187805,155,-8.98570861816406,Mouse
214060187805,165,-3.0002571105957028,Mouse
219666297547,20,1.5048637390136703,Trackpad
219666297547,30,-3.142074584960929,Trackpad
219666297547,40,-7.521020507812494,Trackpad
219666297547,50,-2.5609294891357424,Trackpad
219942741794,15,2.6513092041015502,Mouse
219942741794,25,-6.208151245117188,Mouse
219942741794,35,-8.212759017944338,Mouse
219942741794,45,5.90208282470703,Mouse
220885766670,100,2.138978576660151,Mouse
220885766670,110,-2.5276527404785125,Mouse
220885766670,120,-1.2388015747070313,Mouse
220885766670,130,-15.17060546875,Mouse
230769543210,135,-1.699835205078125,Mouse
230769543210,145,2.5463935852050787,Mouse
230769543210,155,-11.75965313911438,Mouse
230769543210,165,8.531529235839836,Mouse
230918759014,20,2.522862625122071,Trackpad
230918759014,30,-5.863825988769531,Trackpad
230918759014,40,18.064482116699217,Trackpad
230918759014,50,-10.470880126953125,Trackpad
23243432166,20,7.419328308105472,Mouse
23243432166,30,6.952849388122559,Mouse
23243432166,40,-1.3990646362304673,Mouse
23243432166,50,4.0157653808593805,Mouse
232699431944,55,-0.5746795654296875,Mouse
232699431944,65,-3.742306518554682,Mouse
232699431944,75,-5.101741981506349,Mouse
232699431944,85,17.086032104492197,Mouse
