ppid,clamp_magnitude,group,pointer,value
928185260389,10,2,Mouse,5.0659034729003904
982309131650,10,2,Trackpad,-1.1398986816406365
993634722428,10,2,Trackpad,7.466383361816407
139654613099,15,3,Mouse,8.3338623046875
141351339407,15,3,Trackpad,2.3173843383789032
158240405377,15,3,Mouse,-7.916007995605469
193100401433,15,3,Mouse,-2.41920166015625
219942741794,15,3,Mouse,2.1559082031249988
263290655799,15,3,Trackpad,-34.07158508300781
287971476791,15,3,Mouse,-4.197955322265642
306810469599,15,3,Mouse,-0.5516006469726562
311279476853,15,3,Mouse,-2.719610595703119
311518904287,15,3,Mouse,11.216370010375977
37013057852,15,3,Mouse,0.5066070556640625
370640644570,15,3,Mouse,-13.855502319335937
383627469185,15,3,Trackpad,-0.388494873046875
390771680977,15,3,Trackpad,-106.27259826660153
398109816713,15,3,Mouse,34.41546936035156
401611892739,15,3,Trackpad,172.1787902832031
435751852346,15,3,Trackpad,3.415277099609375
456157590029,15,3,Mouse,-5.57786865234375
466178274480,15,3,Trackpad,-2.3041381835937473
510743529302,15,3,Trackpad,-1.6815994262695315
519645490683,15,3,Mouse,5.04098587036133
549389360938,15,3,Trackpad,0.8773284912109368
564938298193,15,3,Trackpad,-4.217466354370118
572670224355,15,3,Mouse,-4.538372802734375
577084825607,15,3,Trackpad,-0.83201904296875
591787668410,15,3,Mouse,4.188012695312506
624015980400,15,3,Trackpad,-1.465628051757824
62472867313,15,3,Mouse,0.49560546875
625553694320,15,3,Mouse,0.4534271240234375
657277573598,15,3,Trackpad,-0.9788360595703139
669404158834,15,3,Trackpad,2.707574462890625
676818776410,15,3,Trackpad,4.18905029296875
726770222419,15,3,Trackpad,6.083204650878907
748730017803,15,3,Mouse,2.671868896484375
767939159879,15,3,Mouse,3.1992492675781308
774480707012,15,3,Mouse,4.7667907714843745
787634621141,15,3,Mouse,8.185191345214843
797606508946,15,3,Mouse,4.757511901855466
81350229447,15,3,Trackpad,2.1865661621093695
822554411599,15,3,Mouse,1.642486572265625
871067946078,15,3,Trackpad,0.020445251464842683
914192695869,15,3,Trackpad,4.98406982421875
917476948583,15,3,Trackpad,7.189750933647156
922666165279,15,3,Trackpad,6.889578247070313
924573419382,15,3,Trackpad,134.42791519165038
928426922298,15,3,Trackpad,-0.6143417358398423
950401282636,15,3,Mouse,0.04918975830078374
964304241118,15,3,Mouse,-0.21171569824217612
96435749437,15,3,Mouse,17.62337245941162
986917736241,15,3,Mouse,-1.4071868896484374
139654613099,25,3,Mouse,-6.7219100952148425
141351339407,25,3,Trackpad,4.134008789062489
158240405377,25,3,Mouse,0.2621330261230484
193100401433,25,3,Mouse,0.78492431640625
219942741794,25,3,Mouse,9.327856445312506
263290655799,25,3,Trackpad,2.66871337890625
287971476791,25,3,Mouse,-0.9511535644531364
306810469599,25,3,Mouse,3.019305419921875
311279476853,25,3,Mouse,-1.5393829345703096
311518904287,25,3,Mouse,7.780462646484364
37013057852,25,3,Mouse,15.34972686767578
370640644570,25,3,Mouse,5.4589111328125
383627469185,25,3,Trackpad,-2.101486206054693
390771680977,25,3,Trackpad,-106.81236190795899
398109816713,25,3,Mouse,-19.900697708129883
401611892739,25,3,Trackpad,-73.89199523925781
435751852346,25,3,Trackpad,-1.497311401367193
456157590029,25,3,Mouse,-3.478326416015625
466178274480,25,3,Trackpad,-2.822955322265625
510743529302,25,3,Trackpad,1.2550659179687558
519645490683,25,3,Mouse,-0.19856567382811327
549389360938,25,3,Trackpad,-3.1702362060546876
564938298193,25,3,Trackpad,1.064208984375
572670224355,25,3,Mouse,1.4148128509521498
577084825607,25,3,Trackpad,-0.8958221435546875
591787668410,25,3,Mouse,5.72354736328125
624015980400,25,3,Trackpad,-1.4529235839843746
62472867313,25,3,Mouse,-1.98603515625
625553694320,25,3,Mouse,0.20038146972656534
657277573598,25,3,Trackpad,-4.284747314453125
669404158834,25,3,Trackpad,1.9708007812499997
676818776410,25,3,Trackpad,0.9100166320800808
726770222419,25,3,Trackpad,8.971835327148437
748730017803,25,3,Mouse,2.12332763671875
767939159879,25,3,Mouse,1.8527393341064446
774480707012,25,3,Mouse,-1.2738006591796822
787634621141,25,3,Mouse,7.729119873046875
797606508946,25,3,Mouse,3.2290367126464843
81350229447,25,3,Trackpad,1.04566650390625
822554411599,25,3,Mouse,0.8473114013671875
871067946078,25,3,Trackpad,2.148052978515625
914192695869,25,3,Trackpad,-2.7812866210937504
917476948583,25,3,Trackpad,-13.979772567749023
922666165279,25,3,Trackpad,-1.5245117187500001
924573419382,25,3,Trackpad,-173.57339782714843
928426922298,25,3,Trackpad,-0.16331787109375
950401282636,25,3,Mouse,1.681658935546875
964304241118,25,3,Mouse,2.2613662719726593
96435749437,25,3,Mouse,-4.314990234374989
986917736241,25,3,Mouse,2.4115173339843863
139654613099,35,3,Mouse,-7.717005920410159
141351339407,35,3,Trackpad,-2.3711242675781365
158240405377,35,3,Mouse,1.4832672119140624
193100401433,35,3,Mouse,-3.6765533447265626
219942741794,35,3,Mouse,1.2743110656738295
263290655799,35,3,Trackpad,14.905752563476554
287971476791,35,3,Mouse,-8.190126037597656
306810469599,35,3,Mouse,1.671148681640625
311279476853,35,3,Mouse,-3.108135223388672
311518904287,35,3,Mouse,9.999652099609374
37013057852,35,3,Mouse,0.5941986083984376
370640644570,35,3,Mouse,14.248144531249988
383627469185,35,3,Trackpad,0.2078521728515625
390771680977,35,3,Trackpad,-174.72974243164063
398109816713,35,3,Mouse,-4.627618408203125
401611892739,35,3,Trackpad,-34.49648437499999
435751852346,35,3,Trackpad,1.577548217773439
456157590029,35,3,Mouse,16.74004030227661
466178274480,35,3,Trackpad,-0.4600868225097641
510743529302,35,3,Trackpad,33.59651184082031
519645490683,35,3,Mouse,2.308163452148449
549389360938,35,3,Trackpad,11.739111328125
564938298193,35,3,Trackpad,-4.301214599609381
572670224355,35,3,Mouse,5.45547485351562
577084825607,35,3,Trackpad,1.4105895996093696
591787668410,35,3,Mouse,0.05691375732421857
624015980400,35,3,Trackpad,1.7313751220703124
62472867313,35,3,Mouse,-0.48153686523438066
625553694320,35,3,Mouse,-0.6797119140625
657277573598,35,3,Trackpad,0.8157409667968691
669404158834,35,3,Trackpad,1.4397583007812498
676818776410,35,3,Trackpad,0.547540283203125
726770222419,35,3,Trackpad,3.4731872558593744
748730017803,35,3,Mouse,1.6245391845703125
767939159879,35,3,Mouse,10.47254638671875
