index,ppid,clamp_magnitude,group,pointer,value,n_trials
1571,822205019881,8,1,Mouse,6.420689445593864,10
1863,945346587337,8,1,Mouse,8.474254448909674,10
1891,968425765400,8,1,Mouse,18.185113507890318,10
1927,996553590521,8,1,Mouse,10.285060367842284,10
243,244346351129,10,2,Mouse,18.727206215447577,10
339,286533593898,10,2,Mouse,21.867679515249296,10
379,307390059111,10,2,Mouse,16.66526853504565,10
447,340447094989,10,2,Mouse,12.854778844850303,10
487,363396258093,10,2,Mouse,20.44687091636876,10
511,372881010640,10,2,Mouse,3.988010511610369,10
623,424813729943,10,2,Mouse,10.925949216631809,10
671,450325436890,10,2,Mouse,24.403466178651854,10
679,453578034881,10,2,Mouse,11.394984623595017,10
767,485655207419,10,2,Mouse,22.82508982906039,10
815,499781516147,10,2,Mouse,10.292972180785855,10
839,514699809951,10,2,Mouse,3.404093829696383,10
867,524084624601,10,2,Mouse,10.149601152262527,10
879,526591815054,10,2,Mouse,10.464586229952584,10
991,568911038571,10,2,Mouse,47.45073285419728,10
995,571510386420,10,2,Mouse,6.879341438823184,10
1059,607190310023,10,2,Mouse,10.04371288560337,10
1075,610091723036,10,2,Mouse,10.997905278712496,10
1083,616859448142,10,2,Mouse,17.88551180330933,10
1187,662896639900,10,2,Mouse,12.714555809498195,10
1195,665972822112,10,2,Mouse,6.288838670305151,10
1447,764955634018,10,2,Mouse,7.773362322850608,10
1471,781632843660,10,2,Mouse,55.60064244438858,10
1559,818668159889,10,2,Mouse,80.63232205402099,10
1727,881636635866,10,2,Mouse,73.52644391846086,10
1819,928185260389,10,2,Mouse,8.515631624350558,10
52,139654613099,15,3,Mouse,83.05509036931966,10
92,158240405377,15,3,Mouse,19.130324789278482,10
144,193100401433,15,3,Mouse,9.396846666975067,10
196,219942741794,15,3,Mouse,22.25952548888375,10
340,287971476791,15,3,Mouse,22.871089435932937,10
372,306810469599,15,3,Mouse,21.343875291297426,10
380,311279476853,15,3,Mouse,31.619287020639913,10
384,311518904287,15,3,Mouse,12.894479968975546,10
500,37013057852,15,3,Mouse,7.213179891608015,10
504,370640644570,15,3,Mouse,20.159947872809624,10
568,398109816713,15,3,Mouse,14.234180968268172,10
688,456157590029,15,3,Mouse,22.652331291137507,10
848,519645490683,15,3,Mouse,16.785562823498964,10
996,572670224355,15,3,Mouse,13.781019045100328,10
1032,591787668410,15,3,Mouse,87.84608590104497,10
1104,62472867313,15,3,Mouse,10.328496715222796,10
1108,625553694320,15,3,Mouse,10.223002209181269,10
1380,748730017803,15,3,Mouse,6.667833748361272,10
1448,767939159879,15,3,Mouse,27.294709292968935,10
1456,774480707012,15,3,Mouse,11.952964455324091,10
1484,787634621141,15,3,Mouse,14.289551528172678,10
1504,797606508946,15,3,Mouse,9.81860896432401,10
1572,822554411599,15,3,Mouse,4.243238747601219,10
1864,950401282636,15,3,Mouse,10.583318485713507,10
1876,964304241118,15,3,Mouse,15.678410306531214,10
1880,96435749437,15,3,Mouse,23.51527441424374,10
1900,986917736241,15,3,Mouse,9.163319518344295,10
84,156593167223,20,4,Mouse,26.913996062186026,10
156,204680910799,20,4,Mouse,14.08440732464724,10
172,211178143741,20,4,Mouse,25.63218966723431,10
176,211349502438,20,4,Mouse,27.602306101929383,10
212,23243432166,20,4,Mouse,8.288468712369601,10
388,312810119008,20,4,Mouse,15.241514215136338,10
464,3512277966,20,4,Mouse,20.270167336678426,10
636,432379164500,20,4,Mouse,8.590363366619574,10
808,498719011200,20,4,Mouse,17.179303032925045,10
940,554310866631,20,4,Mouse,13.24504311824917,10
944,554483397398,20,4,Mouse,7.477441660370929,10
1004,575425482820,20,4,Mouse,5.899936293376697,10
1156,65172413131,20,4,Mouse,42.28975917713342,10
1164,654411478666,20,4,Mouse,18.68266273476039,10
1188,664917210582,20,4,Mouse,13.200103661989676,10
1452,769001317210,20,4,Mouse,12.936955639308954,10
1688,86995724355,20,4,Mouse,17.081710530103674,10
1732,890093759633,20,4,Mouse,11.128503031736594,10
1748,894596827216,20,4,Mouse,303.38433671088546,10
1844,942172447685,20,4,Mouse,12.932726839174116,10
1848,942594251362,20,4,Mouse,15.873381346032327,10
1908,993857921566,20,4,Mouse,10.778942874089783,10
1920,995622965740,20,4,Mouse,28.45967755505066,10
53,139654613099,25,3,Mouse,21.962540804379646,10
93,158240405377,25,3,Mouse,13.731245670295671,10
145,193100401433,25,3,Mouse,8.038672447250656,10
197,219942741794,25,3,Mouse,6.5175853121514065,10
341,287971476791,25,3,Mouse,15.36454505550235,10
373,306810469599,25,3,Mouse,55.69793726600138,10
381,311279476853,25,3,Mouse,79.42088208708529,10
385,311518904287,25,3,Mouse,8.331602596606238,10
501,37013057852,25,3,Mouse,28.276907888861558,10
505,370640644570,25,3,Mouse,24.84513648043606,10
569,398109816713,25,3,Mouse,29.016704237438603,10
689,456157590029,25,3,Mouse,85.15713907817202,10
849,519645490683,25,3,Mouse,47.08118053747228,10
997,572670224355,25,3,Mouse,10.910639313412574,10
1033,591787668410,25,3,Mouse,126.25950480385919,10
1105,62472867313,25,3,Mouse,11.85119607528434,10
1109,625553694320,25,3,Mouse,6.7979101984022785,10
1381,748730017803,25,3,Mouse,2.6031179144030396,10
1449,767939159879,25,3,Mouse,12.148174924787298,10
1457,774480707012,25,3,Mouse,17.89054728386828,10
1485,787634621141,25,3,Mouse,50.21465845729549,10
1505,797606508946,25,3,Mouse,8.174224563364168,10
1573,822554411599,25,3,Mouse,7.480292571428324,10
1865,950401282636,25,3,Mouse,6.901417818997488,10
1877,964304241118,25,3,Mouse,22.565462317636474,10
1881,96435749437,25,3,Mouse,18.012453960988434,10
1901,986917736241,25,3,Mouse,9.303195785583496,10
85,156593167223,30,4,Mouse,11.750121323209736,10
157,204680910799,30,4,Mouse,34.689289319828106,10
173,211178143741,30,4,Mouse,16.679346607360067,10
177,211349502438,30,4,Mouse,32.08843679563966,10
213,23243432166,30,4,Mouse,18.128439159045787,10
389,312810119008,30,4,Mouse,14.843636276535621,10
465,3512277966,30,4,Mouse,69.93578918942279,10
637,432379164500,30,4,Mouse,6.452774516677516,10
809,498719011200,30,4,Mouse,11.888764334840785,10
941,554310866631,30,4,Mouse,12.465533319546449,10
945,554483397398,30,4,Mouse,11.390272516539813,10
1005,575425482820,30,4,Mouse,14.233253350913959,10
1157,65172413131,30,4,Mouse,9.695931462591478,10
1165,654411478666,30,4,Mouse,8.18822725207547,10
1189,664917210582,30,4,Mouse,8.98040764944759,10
1453,769001317210,30,4,Mouse,18.580911994329554,10
1689,86995724355,30,4,Mouse,8.689945659948672,10
1733,890093759633,30,4,Mouse,16.53410387190753,10
1749,894596827216,30,4,Mouse,258.07068913674,10
1845,942172447685,30,4,Mouse,11.886939642932592,10
1849,942594251362,30,4,Mouse,16.20908428344336,10
1909,993857921566,30,4,Mouse,32.87283654564714,10
1921,995622965740,30,4,Mouse,77.17951976266717,10
54,139654613099,35,3,Mouse,23.476115743993297,10
94,158240405377,35,3,Mouse,32.28109628237898,10
146,193100401433,35,3,Mouse,6.449731023514814,10
198,219942741794,35,3,Mouse,17.626566446781233,10
342,287971476791,35,3,Mouse,33.10773623973111,10
374,306810469599,35,3,Mouse,170.35398877198423,10
382,311279476853,35,3,Mouse,87.62241420457701,10
386,311518904287,35,3,Mouse,14.937621456614119,10
502,37013057852,35,3,Mouse,19.71598663026936,10
506,370640644570,35,3,Mouse,23.355121041311342,10
570,398109816713,35,3,Mouse,15.97472641352169,10
690,456157590029,35,3,Mouse,14.747111177323902,10
850,519645490683,35,3,Mouse,83.43927365807068,10
998,572670224355,35,3,Mouse,14.844054612604321,10
1034,591787668410,35,3,Mouse,124.737007788835,10
1106,62472867313,35,3,Mouse,7.629087490882491,10
1110,625553694320,35,3,Mouse,6.600544800802383,10
1382,748730017803,35,3,Mouse,8.366794606410176,10
1450,767939159879,35,3,Mouse,11.51052536789205,10
1458,774480707012,35,3,Mouse,14.101220242586367,10
1486,787634621141,35,3,Mouse,91.96690005724969,10
1506,797606508946,35,3,Mouse,12.533169682110653,10
1574,822554411599,35,3,Mouse,5.4406380067449245,10
1866,950401282636,35,3,Mouse,5.901836861418642,10
1878,964304241118,35,3,Mouse,36.958916843308934,10
1882,96435749437,35,3,Mouse,15.231207608397984,10
1902,986917736241,35,3,Mouse,6.431320319254501,10
86,156593167223,40,4,Mouse,6.780771416273744,10
158,204680910799,40,4,Mouse,14.354471699021454,10
174,211178143741,40,4,Mouse,65.99468986944304,10
178,211349502438,40,4,Mouse,21.740234218160477,10
214,23243432166,40,4,Mouse,15.340671179002342,10
390,312810119008,40,4,Mouse,12.468120191261093,10
466,3512277966,40,4,Mouse,17.36555283662418,10
638,432379164500,40,4,Mouse,10.429878119163256,10
810,498719011200,40,4,Mouse,11.334416780405263,10
