n,median,q25,q75,bias_direction,clamp_magnitude
17,-3.7272354125976555,-14.397181701660154,2.492816925048828,Incorrect,135
18,-6.151848268508913,-11.810453605651857,6.152306008338929,Incorrect,140
18,-8.09058771133423,-13.576148861646661,0.288718664646152,Incorrect,145
19,-12.634178161621094,-19.426924514770512,-9.245668792724608,Incorrect,150
20,-5.61297647953033,-11.230798292160037,4.39840145111084,Incorrect,155
15,-10.06779270172119,-16.20457134246826,-1.169544410705568,Incorrect,160
26,-9.189474487304686,-13.846980106830598,-5.193755841255188,Incorrect,165
18,-11.927686238288882,-19.609580707550048,-0.6623310089111303,Incorrect,170
13,13.410824584960931,9.009509468078612,16.7060284614563,Near-zero,2
13,26.570029067993165,16.840439128875733,40.599189567565915,Near-zero,3
9,13.659027862548829,-12.49229621887207,18.93037052154541,Near-zero,4
11,31.576069259643553,21.88250272274017,44.3697624206543,Near-zero,5
9,17.68515892028809,3.4747547149658202,26.45572075843811,Near-zero,6
12,32.278804779052734,21.378835487365723,41.84802945256234,Near-zero,7
4,18.81930773258209,6.222200345993041,24.362725913524628,Near-zero,8
12,31.111765670776364,17.439484453201295,43.80014434121549,Near-zero,10
14,16.67807948291302,3.7141302108764678,28.527415370941164,Near-zero,15
13,27.801763916015624,10.9046630859375,34.15065460205078,Near-zero,20
11,27.34793436527253,21.655994415283203,48.608537673950195,Near-zero,25
12,31.409737014770506,13.75589904785156,39.59677743911743,Near-zero,30
10,19.352613377571103,14.841717499494559,29.720382106304168,Near-zero,35
14,32.093848419189456,4.889020252227786,33.782966518402105,Near-zero,40
7,30.78204002380371,11.218645095825195,40.30040349960328,Near-zero,45
12,24.366469097137454,15.255187153816223,28.991552734375002,Near-zero,50
9,17.338092041015624,4.6335371971130375,27.25705642700195,Near-zero,55
16,23.863790607452394,5.714032220840457,32.52889956235886,Near-zero,60
9,23.59266242980957,19.49022958278656,26.913682556152345,Near-zero,65
14,17.729598236083984,13.433043622970581,19.437284469604492,Near-zero,70
10,26.171591201424597,7.7069356679916385,35.794387535750865,Near-zero,75
17,12.917883300781252,-1.5342067718505858,32.50056304931641,Near-zero,80
10,19.231729602813715,9.936260223388675,37.19553642272949,Near-zero,85
8,15.154441261291502,13.903091716766358,20.33328121304512,Near-zero,90
7,14.142995452880864,8.533710432052612,35.14682044982911,Near-zero,95
10,19.720620822906493,3.8910477638244587,24.261703395843508,Near-zero,100
10,10.620363616943358,7.008209133148194,13.528639554977417,Near-zero,105
11,5.603961563110351,-1.3571332931518554,19.366253566741946,Near-zero,110
16,5.2597724914550845,1.7396928787231443,17.956419038772587,Near-zero,115
13,16.100179290771486,6.735202026367179,21.65749664306641,Near-zero,120
14,3.1416218757629393,-4.469042438268662,22.41058661937713,Near-zero,125
8,2.202473449707032,-6.594251358509062,8.771150207519531,Near-zero,130
12,6.67257251739502,0.9323720932006836,7.649147987365712,Near-zero,135
17,0.7253402709960995,-5.080730056762695,7.480430603027344,Near-zero,140
13,0.9999955177307143,-6.681446838378915,3.408697891235353,Near-zero,145
11,0.7021392822265711,-0.9008110046386743,7.91021022796631,Near-zero,150
9,-3.7083526611328153,-3.981410217285165,1.1406097412109288,Near-zero,155
14,-8.776077556610106,-14.446072530746461,-2.172862815856945,Near-zero,160
7,1.0338850922882554,-7.0591796875,6.081892013549803,Near-zero,165
7,-0.5562656402587899,-5.199495148658753,5.40870819091797,Near-zero,170
17,22.896532440185545,12.311195755004874,33.507289123535166,Correct,2
19,28.547634887695303,14.162416076660156,33.741979408264164,Correct,3
19,25.434204864501954,16.807696032524113,34.25832451060414,Correct,4
13,27.684651184082032,15.07568550109863,33.40927415341139,Correct,5
17,28.474572753906237,9.586843490600588,37.83885536342859,Correct,6
16,22.354793357849125,4.157887715101237,30.81756004467606,Correct,7
16,22.044506144523623,19.27968835830688,35.5516678661108,Correct,8
15,30.426651000976562,4.6191472530364965,34.59312768951059,Correct,10
18,34.09732475280762,25.860276603698733,49.03802967071533,Correct,15
18,36.51475840674506,26.63059978485108,44.07249728664756,Correct,20
21,27.245689392089844,9.023250198364257,41.00480308532715,Correct,25
19,25.70338430404663,13.99864463806152,39.664663314819336,Correct,30
17,35.82886320352554,28.40367379784584,48.84176254272461,Correct,35
16,34.6086247742176,16.32944259643554,43.17998460233212,Correct,40
23,38.31339940130711,17.540946054458615,48.483931151777504,Correct,45
13,41.684979629516604,10.815972518920898,45.96734957881273,Correct,50
21,30.752354431152344,14.477997207641602,40.78215248733759,Correct,55
15,22.433573532104493,9.90872039794922,32.562062454223636,Correct,60
17,20.980664443969726,10.0484489440918,42.42900390625,Correct,65
17,30.334320449829107,20.99890375137329,39.85231793820858,Correct,70
15,22.155821990966796,9.988067412376402,39.643218231201175,Correct,75
17,30.180500793457025,22.483124542236332,38.387017047405244,Correct,80
20,22.080059051513672,13.258482241630555,27.08525266647338,Correct,85
18,27.449476623535155,19.03398017883301,38.601909446716306,Correct,90
23,12.37785272598267,8.283286571502687,26.802189922332765,Correct,95
13,20.825989151000975,17.67729721069336,25.575664520263672,Correct,100
16,16.353415679931643,10.817637920379639,38.664473342895505,Correct,105
21,17.626215362548827,15.402004241943365,22.347076416015632,Correct,110
13,19.022653198242182,13.665769958496096,23.465446472167972,Correct,115
14,11.601730728149413,6.979587435722345,24.641286718845368,Correct,120
12,13.70956878662109,4.587269496917723,17.466431522369383,Correct,125
17,13.599135208129884,-9.382289123535156,18.55279421806335,Correct,130
17,6.116831970214847,-11.199860763549804,16.265309906005864,Correct,135
14,4.251904916763305,1.0446204185485959,10.695175552368164,Correct,140
14,4.43157272338868,0.3845876932144211,15.480917167663572,Correct,145
19,9.071268463134766,-1.9697651863098142,14.701385736465454,Correct,150
17,6.555980110168457,0.7884361743926995,11.853935241699219,Correct,155
20,9.785177612304686,-3.7586427688598643,14.756550121307374,Correct,160
12,6.743283462524413,-6.689587020874019,18.81036221981049,Correct,165
24,2.959024715423584,-0.11465778350830341,14.212662577629088,Correct,170
