measure,phase,clamp_magnitude,n_participants,phase_center_median,mean,mean_ci_low,mean_ci_high,sd,sd_ci_low,sd_ci_high,median,q25,q75,mean_abs_dev,mean_abs_dev_ci_low,mean_abs_dev_ci_high,median_abs_dev
Between-participant spread of mean hand angle,Baseline,7,49,-1.362727355957031,1.0385482501010512,-1.738797871615888,3.8158943718179907,9.669296115715506,4.532349789698267,13.37715372549684,-1.362727355957031,-2.942255115509032,1.3947509765625,4.929938202001611,2.4495488078893124,7.410327596113909,2.039506530761719
Between-participant spread of mean hand angle,Late adaptation,7,49,22.837332534790043,19.96995167294327,13.659341896510648,26.280561449375895,21.970309757911835,16.067580926674705,26.856724740947293,22.837332534790043,5.369483184814444,33.66574666798114,16.36280460406323,12.124106074295199,20.601503133831258,11.518193435668941
Between-participant spread of mean hand angle,Baseline,8,48,0.55081787109375,1.07256194750468,-2.2695336452006503,4.41465754021001,11.509793297517174,6.192893628800154,16.234911384565407,0.55081787109375,-2.4069900512695224,2.45667304992676,6.008391412099203,3.1650729440052365,8.85170988019317,2.568362808227539
Between-participant spread of mean hand angle,Late adaptation,8,48,24.630976867675788,22.54494982529432,14.057788251600979,31.032111398987663,29.228809495771287,14.164397353692577,45.02643645149827,24.630976867675788,17.241379308700562,38.747762233018875,16.443668894780178,9.434862416639655,23.452475372920702,11.132769829034796
Between-participant spread of mean hand angle,Baseline,10,49,0.273699951171875,-0.029633195059640887,-2.851328889233039,2.792062499113757,9.823698602799752,5.494227589722606,13.137644209968013,0.273699951171875,-2.385597229003905,2.581854248046875,5.346180067257006,2.9876815525142515,7.70467858199976,2.65929718017578
Between-participant spread of mean hand angle,Late adaptation,10,49,31.332957458496093,27.499537829568194,21.336521867247114,33.66255379188927,21.456463722542594,17.063567096889834,25.506495244305555,31.332957458496093,10.682124090194703,42.11959284543991,17.07983477903264,13.252154829158954,20.907514728906328,17.508841370046145
Between-participant spread of mean hand angle,Baseline,15,50,0.6919677734374996,5.2189422926902775,-4.829634505382929,15.267519090763484,35.357804295706536,7.619051327076552,51.49245199201398,0.6919677734374996,-1.4510177612304773,4.764471054077148,13.006800492763519,3.5876719975853604,22.425928987941678,3.2613739013671843
Between-participant spread of mean hand angle,Late adaptation,15,50,26.83482704162597,28.984733754349982,21.32888907273619,36.640578435963775,26.938527058153273,18.711237309767277,35.04334038546927,26.83482704162597,14.46498665288091,43.30231889039278,19.520774104850258,14.268409478507525,24.77313873119299,13.786338615417487
Between-participant spread of mean hand angle,Baseline,20,49,0.0499938964843806,3.0664008062713015,-3.2784789738947,9.411280586437304,22.089620351357016,5.737512543535741,33.11425008317331,0.0499938964843806,-3.975628662109352,2.8954528808593745,8.650780212635896,2.758329204183368,14.543231221088423,3.3998535156249945
Between-participant spread of mean hand angle,Late adaptation,20,49,31.752529275417327,27.88885095038471,22.0453792863069,33.73232261446252,20.34397420687049,15.840098112402943,24.060377000456356,31.752529275417327,13.233784484863282,41.08287048339844,15.468166465095198,11.56276778985228,19.373565140338115,10.539568459987652
Between-participant spread of mean hand angle,Baseline,25,50,0.5235286712646492,-6.6738096008300785,-15.397510212561581,2.0498910109014252,30.695978660687818,5.294540376102954,47.90051357061306,0.5235286712646492,-2.07262344360352,2.233037948608401,10.480369354248046,2.0352637330432923,18.9254749754528,2.10404815673828
Between-participant spread of mean hand angle,Late adaptation,25,50,32.519920844170784,29.881638712866437,22.797257492414687,36.96601993331819,24.927725565767904,18.784941196123018,30.341007949188295,32.519920844170784,12.740776538848879,44.67684866599738,18.77801205773817,14.11957434825989,23.436449767216452,14.01527099609375
Between-participant spread of mean hand angle,Baseline,30,49,-0.0522567749023435,0.5641938267921917,-5.978447327554668,7.106834981139051,22.77812412560875,5.805451350563819,34.66277064445941,-0.0522567749023435,-3.07637939453125,4.13560791015625,9.118316424622828,3.1320290080443636,15.104603841201293,3.9753097534179687
Between-participant spread of mean hand angle,Late adaptation,30,49,26.395584106445312,29.002006798110006,21.411259915337293,36.59275368088272,26.42709123470721,14.25975171730103,38.33767223215569,26.395584106445312,14.238052368164055,40.12005157470704,16.43302400815565,10.479206130108885,22.38684188620241,13.001734161376952
Between-participant spread of mean hand angle,Baseline,35,50,1.0383148193359337,-2.9586393108367934,-11.002640527619054,5.085361905945468,28.304328711698655,7.71386397501778,44.827518368464226,1.0383148193359337,-1.9067218780517583,4.0975402832031245,10.214652040481567,2.6368307220649,17.792473358898235,3.1994842529296874
Between-participant spread of mean hand angle,Late adaptation,35,50,30.255204296112062,28.700760029727043,20.39627259407812,37.005247465375966,29.220898384548445,20.650872027043004,36.97321998205999,30.255204296112062,16.040835863351823,43.54437789916992,20.239385440772946,14.289318983199639,26.189451898346253,13.921967411041258
Between-participant spread of mean hand angle,Baseline,40,49,-0.1666412353515624,2.037864163457133,-5.206333468714282,9.282061795628548,25.220584311950407,5.386599061125742,36.46721976735191,-0.1666412353515624,-3.338406372070318,2.86482162475586,9.672547282004846,2.9637429174158862,16.381351646593806,3.1717651367187556
Between-participant spread of mean hand angle,Late adaptation,40,49,31.905854797363283,29.77253652258234,22.279647718891788,37.26542532627289,26.08639954469358,16.751399049068155,36.2676377963483,31.905854797363283,14.819193840026855,40.44815673828125,17.736471239468738,12.256330183536512,23.216612295400964,12.646516132354737
Between-participant spread of mean hand angle,Baseline,45,50,1.0923938751220703,5.166520278930664,-2.953124704195046,13.286165262056373,28.57049550728653,9.131760163168268,40.87178600303535,1.0923938751220703,-1.76370849609375,5.085581207275382,11.689808166503903,4.2042008787609895,19.175415454246817,3.3633232116699263
Between-participant spread of mean hand angle,Late adaptation,45,50,31.814576094597573,26.287317375534702,17.297495995383677,35.277138755685726,31.632374554144565,19.957060207861684,44.04392219003437,31.814576094597573,12.312332653999327,45.87219324111938,21.10965644399307,14.282603424771546,27.936709463214598,16.09000720977783
Between-participant spread of mean hand angle,Baseline,50,49,0.3032958984374998,2.1246310175681593,-9.075041078798229,13.324303113934548,38.99151965680706,7.94778974675512,58.01694758348357,0.3032958984374998,-3.618983459472656,3.405725097656261,14.234536930006378,3.811158209061656,24.6579156509511,3.922279357910156
Between-participant spread of mean hand angle,Late adaptation,50,49,24.72285327911377,27.873944143005684,20.238720897645305,35.509167388366066,26.58193514006252,17.596026840069314,36.3758649544583,24.72285327911377,9.807823181152344,44.57618255615235,18.925828234635954,13.543848074313551,24.307808394958357,17.696926689147958
Between-participant spread of mean hand angle,Baseline,55,48,0.19476089477538988,0.9432543121278285,-1.4645787313651546,3.3510873556208116,8.292300401588006,4.346351512604835,11.416271924629866,0.19476089477538988,-2.6983158111572276,2.0823966979980466,4.786387904236714,2.8183437127365956,6.754432095736833,2.680461502075195
Between-participant spread of mean hand angle,Late adaptation,55,48,25.044040870666503,24.220463027758523,15.786218112925463,32.654707942591585,29.046570601466044,20.405528119188833,37.73031093896268,25.044040870666503,4.283727002143859,35.51083814054728,20.90018335588587,15.105256653337213,26.695110058434523,16.871665919572116
Between-participant spread of mean hand angle,Baseline,60,46,0.19837102890015215,-0.7854546391445653,-2.78277387416032,1.211864595871189,6.725810704805672,4.11309078543018,8.888216364919673,0.19837102890015215,-2.281713485717773,2.574779891967774,4.3447392225265515,2.803682312602632,5.885796132450471,2.4742569923400834
Between-participant spread of mean hand angle,Late adaptation,60,46,19.79564099311829,18.197274300099718,9.64005257404882,26.754496026150616,28.81575087220087,17.69447668019702,39.45789835852224,19.79564099311829,6.682955288887024,30.87694898992777,18.8106964594968,12.36410457279523,25.257288346198372,12.406516242027283
Between-participant spread of mean hand angle,Baseline,65,48,-0.47354621887206977,-0.3704692681630462,-6.3938499545481795,5.652911418222087,20.743831147101055,5.32696756994051,31.5731521742547,-0.47354621887206977,-2.329182434082031,2.404394435882568,8.145274368921916,2.6163397328687683,13.674209004975063,2.148167037963871
Between-participant spread of mean hand angle,Late adaptation,65,48,23.18702278137207,22.096271154587157,11.889882379723804,32.30265992945051,35.149630480104065,18.845881872851702,49.168599239595224,23.18702278137207,13.18272128105164,37.97137804031372,21.0971165640202,12.976345263548723,29.21788786449168,12.79863424301147
Between-participant spread of mean hand angle,Baseline,70,46,1.2768135070800795,1.4546156344206447,-0.1288816166635478,3.0381128855048374,5.332298701007808,3.806318171623964,6.654556253267523,1.2768135070800795,-1.9787721633911135,4.404460716247558,3.947464171699855,2.8959885114737034,4.998939831926006,3.2254947662353506
