ppid,clamp_magnitude,raw_signed_baseline_bias,signed_clamp_angle,target_clamp_sign,pointer
611182001186,165,-5.6063995361328125,-165.0,-1,Mouse
616859448142,3,-13.744401550292967,-3.0,-1,Mouse
616859448142,5,11.120050048828123,-5.0,-1,Mouse
616859448142,7,14.432050704956055,-7.0,-1,Mouse
616859448142,10,-16.756895446777342,-10.0,-1,Mouse
618976041208,55,-10.558477783203124,-55.0,-1,Mouse
618976041208,65,-2.8117233276367246,-65.0,-1,Mouse
618976041208,75,-0.7280895233154295,-75.0,-1,Mouse
618976041208,85,-5.14498901367188,-85.0,-1,Mouse
6196976173,140,2.618225860595703,-140.0,-1,Trackpad
6196976173,150,-13.205593872070315,-150.0,-1,Trackpad
6196976173,160,4.407505798339844,-160.0,-1,Trackpad
6196976173,170,2.6294677734374945,-170.0,-1,Trackpad
621998446062,95,3.340322494506836,-95.0,-1,Trackpad
621998446062,105,-13.042725944519043,-105.0,-1,Trackpad
621998446062,115,11.112042236328108,-115.0,-1,Trackpad
621998446062,125,-11.486163330078123,-125.0,-1,Trackpad
624015980400,15,-6.673136901855483,15.0,1,Trackpad
624015980400,25,12.768048095703113,25.0,1,Trackpad
624015980400,35,8.387754821777344,35.0,1,Trackpad
624015980400,45,-19.14647331237793,45.0,1,Trackpad
624326525488,95,-9.045314025878909,-95.0,-1,Trackpad
624326525488,105,2.5898666381835938,-105.0,-1,Trackpad
624326525488,115,14.725098037719727,-115.0,-1,Trackpad
624326525488,125,0.852740478515625,-125.0,-1,Trackpad
62472867313,15,-5.116836547851574,15.0,1,Mouse
62472867313,25,-5.529322814941405,25.0,1,Mouse
62472867313,35,-3.9202728271484433,35.0,1,Mouse
62472867313,45,-11.055440711975098,45.0,1,Mouse
625553694320,15,-6.0543334960937445,15.0,1,Mouse
625553694320,25,-3.163563537597656,25.0,1,Mouse
625553694320,35,-16.384939575195318,35.0,1,Mouse
625553694320,45,-7.074828338623047,45.0,1,Mouse
625957949785,100,-6.662425994873047,-100.0,-1,Trackpad
625957949785,110,7.5293243408202954,-110.0,-1,Trackpad
625957949785,120,0.8573196411132813,-120.0,-1,Trackpad
625957949785,130,-3.1006301879882785,-130.0,-1,Trackpad
627511081285,140,1.2949321746826186,-140.0,-1,Trackpad
627511081285,150,-0.4261459350585934,-150.0,-1,Trackpad
627511081285,160,-0.5144561767578066,-160.0,-1,Trackpad
627511081285,170,3.9073425292968635,-170.0,-1,Trackpad
628253346774,2,10.77404174804687,2.0,1,Trackpad
628253346774,4,0.073773002624511,4.0,1,Trackpad
628253346774,6,5.6443359375,6.0,1,Trackpad
628253346774,8,-12.24759826660156,8.0,1,Trackpad
630191511008,95,-3.8377454757690415,-95.0,-1,Mouse
630191511008,105,-0.3552429199218807,-105.0,-1,Mouse
630191511008,115,-3.8477478027343666,-115.0,-1,Mouse
630191511008,125,-1.3505859375000013,-125.0,-1,Mouse
631329533178,135,-0.33630065917968766,135.0,1,Mouse
631329533178,145,-1.4084373474121097,145.0,1,Mouse
631329533178,155,-23.11840209960937,155.0,1,Mouse
631329533178,165,-10.142775726318366,165.0,1,Mouse
637138033052,100,-9.996958923339843,-100.0,-1,Mouse
637138033052,110,12.457351684570309,-110.0,-1,Mouse
637138033052,120,-4.083968353271482,-120.0,-1,Mouse
637138033052,130,-7.66897583007813,-130.0,-1,Mouse
641972036799,2,-3.9647857666015627,2.0,1,Trackpad
641972036799,4,-6.951203918457028,4.0,1,Trackpad
641972036799,6,10.326675415039062,6.0,1,Trackpad
641972036799,8,19.845361328124994,8.0,1,Trackpad
643459252314,20,0.9275697708129886,20.0,1,Trackpad
643459252314,30,31.714539337158197,30.0,1,Trackpad
643459252314,40,2.505283355712892,40.0,1,Trackpad
643459252314,50,-19.53694915771484,50.0,1,Trackpad
644298611907,140,-0.005559539794920454,140.0,1,Mouse
644298611907,150,-4.429441070556642,150.0,1,Mouse
644298611907,160,1.3167648315429603,160.0,1,Mouse
644298611907,170,-21.552420043945325,170.0,1,Mouse
645686800824,2,-4.235237121582034,-2.0,-1,Mouse
645686800824,4,-11.637148094177245,-4.0,-1,Mouse
645686800824,6,-11.428683471679694,-6.0,-1,Mouse
645686800824,8,-18.39677200317383,-8.0,-1,Mouse
650598146952,95,-17.273400878906255,95.0,1,Mouse
650598146952,105,-36.424723052978514,105.0,1,Mouse
650598146952,115,-4.6139434814453235,115.0,1,Mouse
650598146952,125,-2.4107706069946273,125.0,1,Mouse
65172413131,20,-1.4560585021972643,20.0,1,Mouse
65172413131,30,-5.329263305664074,30.0,1,Mouse
65172413131,40,3.094168472290039,40.0,1,Mouse
65172413131,50,-11.387657165527344,50.0,1,Mouse
653112237341,60,-2.015170288085949,60.0,1,Mouse
653112237341,70,8.375901031494141,70.0,1,Mouse
653112237341,80,-2.907438659667974,80.0,1,Mouse
653112237341,90,0.8369852066040032,90.0,1,Mouse
654411478666,20,-14.707305908203136,20.0,1,Mouse
654411478666,30,-1.9938858032226592,30.0,1,Mouse
654411478666,40,5.348967742919923,40.0,1,Mouse
654411478666,50,4.509768676757804,50.0,1,Mouse
657277573598,15,14.60077362060547,15.0,1,Trackpad
657277573598,25,8.419806671142577,25.0,1,Trackpad
657277573598,35,-2.405499267578128,35.0,1,Trackpad
657277573598,45,10.72705688476562,45.0,1,Trackpad
65927738090,140,3.522253417968744,140.0,1,Mouse
65927738090,150,2.067980194091797,150.0,1,Mouse
65927738090,160,-7.059477233886724,160.0,1,Mouse
65927738090,170,-4.2688556671142575,170.0,1,Mouse
660482772393,140,-9.776112365722659,140.0,1,Trackpad
660482772393,150,2.08441162109375,150.0,1,Trackpad
660482772393,160,3.1917449951171877,160.0,1,Trackpad
660482772393,170,-1.9396820068359375,170.0,1,Trackpad
660965892719,20,-0.19456939697266193,-20.0,-1,Trackpad
660965892719,30,5.261053466796864,-30.0,-1,Trackpad
660965892719,40,-1.1173599243164063,-40.0,-1,Trackpad
660965892719,50,2.5322067260742194,-50.0,-1,Trackpad
662896639900,3,-22.555659484863277,-3.0,-1,Mouse
662896639900,5,-6.8237190246582005,-5.0,-1,Mouse
662896639900,7,-14.510480880737305,-7.0,-1,Mouse
662896639900,10,-1.7582427978515625,-10.0,-1,Mouse
664917210582,20,-14.060842895507818,-20.0,-1,Mouse
664917210582,30,2.0190055847167967,-30.0,-1,Mouse
664917210582,40,-4.867631530761725,-40.0,-1,Mouse
664917210582,50,-13.914585876464846,-50.0,-1,Mouse
665972822112,3,-12.013041687011718,3.0,1,Mouse
665972822112,5,18.049546360969543,5.0,1,Mouse
