ppid,clamp_magnitude,baseline_bias,pointer,late_adapt
154695465695,95,29.943510055541992,Trackpad,12.725684928894044
154695465695,105,-3.474383544921875,Trackpad,13.991914367675781
154695465695,115,-16.145764160156247,Trackpad,-0.8049041748046875
154695465695,125,15.150848388671857,Trackpad,12.855821228027338
156593167223,20,-13.872671508789063,Mouse,39.5877326965332
156593167223,30,0.935536193847662,Mouse,39.05059318542481
156593167223,40,4.190488052368164,Mouse,44.40979055166245
156593167223,50,-24.45870018005371,Mouse,23.102870941162113
157286867732,3,6.378378295898432,Trackpad,38.38641652166843
157286867732,5,-0.17440948486328053,Trackpad,52.430566024780276
157286867732,7,-1.3183547973632925,Trackpad,48.42826690673828
157286867732,10,6.265957641601562,Trackpad,50.53369979858398
158240405377,15,-6.177819061279294,Mouse,33.31885681152344
158240405377,25,5.5587818145751955,Mouse,34.52907018661499
158240405377,35,-3.9150360107421847,Mouse,31.742592048645015
158240405377,45,-8.9943359375,Mouse,31.430550657212727
163470105268,60,-8.000729370117188,Trackpad,-11.789053344726563
163470105268,70,-1.0003387451171875,Trackpad,16.628699684143065
163470105268,80,-1.4596038818359376,Trackpad,-1.5342067718505858
163470105268,90,-0.7192245483398381,Trackpad,6.506897735595705
163796231616,2,-2.2532787322998042,Mouse,5.523651432991029
163796231616,4,-10.16077270507812,Mouse,10.27254180908202
163796231616,6,11.304406738281239,Mouse,37.83885536342859
163796231616,8,-7.425418472290036,Mouse,31.175112152099615
164780952734,60,-13.91228942871094,Trackpad,-17.649027252197268
164780952734,70,16.152682495117187,Trackpad,20.78588104248047
164780952734,80,-5.297887802124024,Trackpad,-0.8091913223266601
164780952734,90,8.509738159179687,Trackpad,7.183615493774414
16847613267,140,-3.025662231445312,Mouse,6.232206249237061
16847613267,150,4.388539123535165,Mouse,6.312676239013676
16847613267,160,3.7069305419921874,Mouse,13.615499496459961
16847613267,170,-4.707220458984375,Mouse,6.187030029296875
170080221025,60,-18.091632843017578,Mouse,21.49919090270996
170080221025,70,-5.547534942626953,Mouse,12.282161235809326
170080221025,80,0.9774291992187498,Mouse,6.075882720947265
170080221025,90,-22.67039184570313,Mouse,14.745034790039053
1721418462,135,2.4298980712890623,Trackpad,13.84953231811524
1721418462,145,4.0462158203125,Trackpad,3.699189758300787
1721418462,155,2.9001144409179687,Trackpad,13.36502151489258
1721418462,165,-6.386634826660157,Trackpad,1.351275253295898
172440417576,95,3.72140350341797,Mouse,8.720160484313965
172440417576,105,-7.483187103271485,Mouse,-11.579895782470704
172440417576,115,0.4937835693359377,Mouse,4.813484191894529
172440417576,125,-4.06864929199219,Mouse,-3.8573448181152417
175094375154,55,-4.313777923583983,Mouse,-1.3158384323120105
175094375154,65,11.313235473632806,Mouse,21.118986129760735
175094375154,75,7.172261810302736,Mouse,38.410691833496095
175094375154,85,-4.758505249023437,Mouse,8.301890563964841
177578993607,55,6.772787475585938,Trackpad,23.440602111816407
177578993607,65,-7.104071044921869,Trackpad,1.0634952545165988
177578993607,75,1.1949249267578115,Trackpad,-11.31899299621582
177578993607,85,3.0786788940429695,Trackpad,22.280015182495116
183824516134,140,6.150168991088868,Mouse,-8.672092247009276
183824516134,150,-11.180834197998047,Mouse,7.6527210235595735
183824516134,160,15.341622924804682,Mouse,31.752224731445306
183824516134,170,-23.25860137939453,Mouse,-37.79997863769532
18545178463,3,-34.065066385269155,Trackpad,-7.624256896972653
18545178463,5,9.448302459716796,Trackpad,9.902198600769044
18545178463,7,-9.740583801269532,Trackpad,2.11083869934082
18545178463,10,15.403182983398438,Trackpad,30.426651000976562
186217949958,100,10.21560668945313,Mouse,17.242294311523445
186217949958,110,4.969261932373047,Mouse,23.95274634361267
186217949958,120,-7.876336669921867,Mouse,18.89923858642579
186217949958,130,-2.307263946533203,Mouse,8.490759277343747
193100401433,15,1.0402709960937506,Mouse,-4.299386596679687
193100401433,25,5.108625793457032,Mouse,12.27327995300293
193100401433,35,-9.210847854614258,Mouse,7.802353477478029
193100401433,45,-2.2145675659179718,Mouse,-4.803162384033206
19706308376,55,3.3334175109863295,Mouse,60.20360717773436
19706308376,65,14.438339233398438,Mouse,49.2985357299447
19706308376,75,2.0517276763916015,Mouse,23.692325401306153
19706308376,85,4.906263732910159,Mouse,49.871351623535155
199718243908,140,-0.989300537109375,Trackpad,3.5363662719726534
199718243908,150,2.0797470092773453,Trackpad,11.562519073486328
199718243908,160,-4.838517189025879,Trackpad,1.8527210235595724
199718243908,170,-7.346865844726563,Trackpad,-1.934239959716797
204680910799,20,-4.166986083984375,Mouse,44.234261739253995
204680910799,30,-8.44351501464844,Mouse,17.00325241088867
204680910799,40,9.905104064941408,Mouse,14.819193840026855
204680910799,50,-3.0863998413085936,Mouse,49.078260040283205
205160485114,55,3.265989685058588,Trackpad,3.234296417236325
205160485114,65,3.675030517578125,Trackpad,-11.848265075683596
205160485114,75,-8.741280746459962,Trackpad,4.097000122070314
205160485114,85,17.141201782226563,Trackpad,10.933366394042963
206032965332,95,0.9321929931640653,Trackpad,10.32991371154785
206032965332,105,-6.117626953125,Trackpad,4.9092727661132844
206032965332,115,17.630201721191412,Trackpad,23.465446472167972
206032965332,125,10.683673286437989,Trackpad,11.235000228881836
208917626878,60,1.0741836547851307,Trackpad,0.74039306640625
208917626878,70,0.6475387573242203,Trackpad,21.250743103027343
208917626878,80,-2.0361175537109375,Trackpad,-5.0224039316177365
208917626878,90,8.120913696289064,Trackpad,3.1628272533416757
211178143741,20,-16.220445251464845,Mouse,39.30471791420132
211178143741,30,6.135873413085936,Mouse,28.56315803527832
211178143741,40,4.342398452758789,Mouse,73.211314868927
211178143741,50,-2.306793403625489,Mouse,1.399485182762146
211349502438,20,24.316950988769538,Mouse,53.29778060913086
211349502438,30,11.900878906250005,Mouse,25.70338430404663
211349502438,40,8.670072746276855,Mouse,36.46610895395279
211349502438,50,26.087884521484376,Mouse,47.98060150146485
