break_length,check_movement_timeout,clamp_angle,clamp_angle_relative,clamped,completion_code,cursor_properties,cursor_scale,cursor_stationary_wait,cursor_style,cursor_visibility,experiment_type,group,mouse_sensitivity,movement_timeout,n_break,n_repetitions,play_audio_feedback,ppid_session_dataname,progress_in_break,return_hand_wait,show_endpoint_feedback,show_score,show_text_feedback,target_circle_radius,target_scale,token_id
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.009259272366762161,"[0.0, 0.30000001192092896]",3,240,Full,266126640839_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,47
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.009044487029314041,"[0.0, 0.30000001192092896]",3,240,Full,866262106690_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,208
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.006944435648620129,"[0.0, 0.30000001192092896]",3,240,Full,307390059111_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,95
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.004896621685475111,"[0.0, 0.30000001192092896]",3,240,Full,115921796998_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,228
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.009259282611310482,"[0.0, 0.30000001192092896]",3,240,Full,89758134912_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,474
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.009396316483616829,"[0.0, 0.30000001192092896]",3,240,Full,478219331707_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,437
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,8,0.009336542338132858,"[0.0, 0.30000001192092896]",3,240,Full,942895571934_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,417
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,8,0.013020859099924564,"[0.0, 0.30000001192092896]",3,240,Full,230769543210_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,418
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.010955242440104485,"[0.0, 0.30000001192092896]",3,240,Full,285770176909_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,270
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.00400026747956872,"[0.0, 0.30000001192092896]",3,240,Full,526591815054_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,70
