age,browser_version,computer,consent_time,gender,hand,height_px,monitor,pointer,ppid_session_dataname,px_ratio,width_px
58.0,"Chrome, 117",Laptop,10/12/2023 1:51:57 PM,Female,Right,768,Laptop Monitor,Mouse,244346351129_s001_participant_details,1,1366
32.0,"Chrome, 116",Laptop,10/12/2023 1:40:25 PM,Female,Right,864,Laptop Monitor,Trackpad,413611575961_s001_participant_details,1.25,1536
29.0,"Chrome, 117",Desktop,10/13/2023 1:10:40 PM,Male,Right,1080,External Monitor,Mouse,757535461336_s001_participant_details,1,1920
37.0,"Chrome, 117",Laptop,10/13/2023 1:09:08 PM,Male,Right,864,Laptop Monitor,Mouse,593610742595_s001_participant_details,1.25,1536
33.0,"Chrome, 116",Desktop,10/12/2023 1:53:46 PM,Female,Right,1080,External Monitor,Mouse,211178143741_s001_participant_details,1,1920
25.0,"Opera, undefined",Desktop,10/13/2023 1:19:49 PM,Male,Right,1080,External Monitor,Mouse,306810469599_s001_participant_details,1,1920
34.0,"Chrome, 117",Laptop,10/13/2023 1:01:43 PM,Male,Left,900,Laptop Monitor,Trackpad,430337224388_s001_participant_details,2,1440
48.0,"Chrome, 118",Laptop,10/13/2023 1:05:36 PM,Male,Right,720,Laptop Monitor,Trackpad,808518082136_s001_participant_details,1.5,1280
44.0,"Chrome, 117",Laptop,10/12/2023 1:53:20 PM,Female,Right,768,Laptop Monitor,Trackpad,91524953255_s001_participant_details,1,1366
34.0,"Firefox, 118",Laptop,10/13/2023 1:14:53 PM,Male,Right,720,Laptop Monitor,Mouse,475080016767_s001_participant_details,1.25,1280
39.0,"Chrome, 116",Laptop,10/13/2023 1:05:07 PM,Male,Right,730,Laptop Monitor,Trackpad,502597156213_s001_participant_details,1.0507692098617554,1300
52.0,"Chrome, 117",Desktop,10/13/2023 1:04:47 PM,Male,Right,720,External Monitor,Mouse,290626679547_s001_participant_details,3,1280
43.0,"Safari, 17",Desktop,10/12/2023 1:29:44 PM,Male,Left,1440,External Monitor,Mouse,881636635866_s001_participant_details,1,2560
36.0,"Chrome, 109",Desktop,10/12/2023 1:47:18 PM,Female,Right,864,External Monitor,Mouse,911029371665_s001_participant_details,1.25,1536
42.0,"Chrome, 117",Laptop,10/13/2023 1:15:02 PM,Male,Left,1050,Laptop Monitor,Trackpad,283817955758_s001_participant_details,2,1680
40.0,"Chrome, 118",Laptop,10/13/2023 1:03:44 PM,Female,Right,768,Laptop Monitor,Trackpad,881354056065_s001_participant_details,1,1366
30.0,"Chrome, 118",Laptop,10/13/2023 1:02:26 PM,Male,Right,864,Laptop Monitor,Mouse,244418469024_s001_participant_details,1.25,1536
42.0,"Chrome, 117",Laptop,10/13/2023 1:05:29 PM,Female,Right,768,Laptop Monitor,Mouse,472660400671_s001_participant_details,1,1366
51.0,"Chrome, 117",Laptop,10/12/2023 1:59:32 PM,Male,Right,864,Laptop Monitor,Mouse,450325436890_s001_participant_details,1.25,1536
73.0,"Chrome, 117",Laptop,10/13/2023 1:03:45 PM,Male,Right,768,Laptop Monitor,Mouse,245556890498_s001_participant_details,1,1360
64.0,"Chrome, 116",Laptop,10/13/2023 1:05:59 PM,Male,Right,900,Laptop Monitor,Trackpad,263123473152_s001_participant_details,1,1440
20.0,"Chrome, 117",Laptop,10/13/2023 1:03:42 PM,Male,Right,864,Laptop Monitor,Trackpad,676818776410_s001_participant_details,1.25,1536
51.0,"Chrome, 117",Laptop,10/13/2023 1:02:32 PM,Female,Right,864,Laptop Monitor,Mouse,327893696958_s001_participant_details,1.25,1536
22.0,"Chrome, 117",Laptop,10/12/2023 1:48:14 PM,Male,Right,1120,Laptop Monitor,Trackpad,993634722428_s001_participant_details,2,1792
36.0,"Chrome, 117",Laptop,10/13/2023 1:04:53 PM,Female,Right,900,Laptop Monitor,Trackpad,660482772393_s001_participant_details,2,1440
44.0,"Chrome, 116",Desktop,10/12/2023 1:49:40 PM,Female,Left,1440,External Monitor,Mouse,571510386420_s001_participant_details,2,2560
47.0,"Chrome, 117",Desktop,10/12/2023 1:52:06 PM,Female,Right,1080,External Monitor,Mouse,654411478666_s001_participant_details,1,1920
43.0,"Chrome, 118",Laptop,10/13/2023 1:03:57 PM,Female,Right,900,Laptop Monitor,Trackpad,510743529302_s001_participant_details,1,1600
47.0,"Chrome, 117",Laptop,10/12/2023 1:41:38 PM,Female,Right,768,Laptop Monitor,Mouse,482715387130_s001_participant_details,1,1366
50.0,"Chrome, 118",Desktop,10/13/2023 1:31:59 PM,Male,Right,1050,External Monitor,Mouse,712610918562_s001_participant_details,1,1680
38.0,"Chrome, 118",Desktop,10/13/2023 1:13:45 PM,Male,Right,800,External Monitor,Mouse,242302735568_s001_participant_details,1.5,1280
33.0,"Chrome, 117",Laptop,10/13/2023 1:09:23 PM,Male,Right,768,Laptop Monitor,Mouse,836667074589_s001_participant_details,1,1366
33.0,"Chrome, 118",Laptop,10/13/2023 1:06:39 PM,Male,Right,768,Laptop Monitor,Mouse,698323606979_s001_participant_details,1,1366
28.0,"Chrome, 117",Desktop,10/12/2023 1:50:23 PM,Male,Left,1086,External Monitor,Mouse,665972822112_s001_participant_details,1,1920
63.0,"Chrome, 117",Laptop,10/18/2023 1:04:29 PM,Female,Right,768,Laptop Monitor,Trackpad,666909089777_s001_participant_details,1,1366
43.0,"Chrome, 117",Laptop,10/13/2023 1:04:24 PM,Female,Right,768,Laptop Monitor,Trackpad,537187849171_s001_participant_details,1,1366
31.0,"Chrome, 117",Laptop,10/13/2023 1:02:50 PM,Male,Right,1050,Laptop Monitor,Trackpad,749603402102_s001_participant_details,2,1680
29.0,"Chrome, 117",Laptop,10/13/2023 2:58:42 PM,Male,Right,864,External Monitor,Mouse,978960614418_s001_participant_details,1.25,1536
35.0,"Chrome, 117",Laptop,10/12/2023 1:48:40 PM,Female,Right,768,Laptop Monitor,Mouse,300018938491_s001_participant_details,1,1366
30.0,"Chrome, 117",Desktop,10/12/2023 1:52:29 PM,Female,Right,1260,External Monitor,Mouse,498719011200_s001_participant_details,2,2240
28.0,"Chrome, 117",Laptop,10/13/2023 1:01:49 PM,Female,Right,864,Laptop Monitor,Mouse,730041648726_s001_participant_details,1.25,1536
43.0,"Firefox, 118",Desktop,10/13/2023 1:56:17 PM,Male,Right,1080,External Monitor,Mouse,630191511008_s001_participant_details,1,1920
26.0,"Safari, 15",Laptop,10/13/2023 1:08:23 PM,Female,Right,900,Laptop Monitor,Trackpad,401611892739_s001_participant_details,1,1440
49.0,"Chrome, 118",Laptop,10/13/2023 1:09:08 PM,Female,Right,720,Laptop Monitor,Trackpad,347401194740_s001_participant_details,1.5,1280
31.0,"Chrome, 117",Laptop,10/13/2023 1:12:51 PM,Male,Right,864,Laptop Monitor,Mouse,968425765400_s001_participant_details,1.25,1536
29.0,"Chrome, 117",Laptop,10/13/2023 1:07:21 PM,Female,Right,864,Laptop Monitor,Trackpad,368230630876_s001_participant_details,1.25,1536
30.0,"Chrome, 117",Laptop,10/13/2023 1:16:46 PM,Male,Right,768,Laptop Monitor,Mouse,821109032956_s001_participant_details,1,1366
36.0,"Firefox, 118",Desktop,10/13/2023 1:03:02 PM,Male,Right,1080,External Monitor,Mouse,747798201628_s001_participant_details,1,1920
43.0,"Chrome, 117",Desktop,10/13/2023 1:05:10 PM,Male,Right,965,External Monitor,Mouse,479445978766_s001_participant_details,3.3600001335144043,1715
40.0,"Chrome, 117",Laptop,10/13/2023 1:09:19 PM,Male,Right,720,Laptop Monitor,Trackpad,794821160379_s001_participant_details,1.5,1280
36.0,"Chrome, 117",Laptop,10/13/2023 1:12:50 PM,Male,Right,864,Laptop Monitor,Trackpad,314581190701_s001_participant_details,1.25,1536
