group,perturbSize,sub,trialType,cycleNum,handangle
1,2,4,1,36,-2.66582049272074
1,2,4,1,37,-1.27559797795552
1,2,4,1,38,0.432167917886444
1,2,4,1,39,-0.256737179920688
1,2,4,1,40,-0.343643182722239
1,2,4,1,41,2.48987579657698
1,2,4,1,42,2.67392252319543
1,2,4,1,43,1.34893472706079
1,2,4,1,44,3.55697607813385
1,2,4,1,45,1.08568245665321
1,2,4,1,46,3.57019493252828
1,2,4,1,47,0.923195987960434
1,2,4,1,48,1.45151148774266
1,2,4,1,49,2.4124532224605
1,2,4,1,50,3.15099645584328
1,2,4,1,51,3.08716988581312
1,2,4,1,52,3.67691929734914
1,2,4,1,53,4.3850208218868
1,2,4,1,54,4.34027769815899
1,2,4,1,55,5.56967807542337
1,2,4,1,56,6.05017580398341
1,2,4,1,57,7.82066279218548
1,2,4,1,58,5.84810026217791
1,2,4,1,59,2.09977015394952
1,2,4,1,60,3.14100412254286
1,2,4,1,61,1.84291237128401
1,2,4,1,62,5.51033714379539
1,2,4,1,63,5.35668794299687
1,2,4,1,64,7.84059549817669
1,2,4,1,65,6.06807241985519
1,2,4,1,66,7.12876036638533
1,2,4,1,67,6.55697065881186
1,2,4,1,68,6.85188838334994
1,2,4,1,69,6.18377212139158
1,2,4,1,70,3.90497623075801
1,2,4,1,71,8.82514298329163
1,2,4,1,72,7.16537734053922
1,2,4,1,73,8.59801666363158
1,2,4,1,74,9.47444502540251
1,2,4,1,75,7.07022687081486
1,2,4,1,76,12.4976220947385
1,2,4,1,77,9.93731495390588
1,2,4,1,78,8.95449951297526
1,2,4,1,79,10.4257447006644
1,2,4,1,80,8.42991459012262
1,2,4,1,81,9.17729981223308
1,2,4,1,82,9.18267332121985
1,2,4,1,83,9.73360726073547
1,2,4,1,84,11.8225025184576
1,2,4,1,85,10.1852298271131
1,2,4,1,86,14.4360543087257
1,2,4,1,87,10.8571226580328
1,2,4,1,88,14.5423628592129
1,2,4,1,89,8.6377120114398
1,2,4,1,90,10.1574121360097
1,2,4,1,91,9.12066714379192
1,2,4,1,92,8.57366177995921
1,2,4,1,93,11.5291338221341
1,2,4,1,94,10.1050785390466
1,2,4,1,95,10.4587759805545
1,2,4,1,96,12.4522424955673
1,2,4,1,97,11.2155135399164
1,2,4,1,98,9.47378164348931
1,2,4,1,99,10.9925235999913
1,2,4,1,100,13.4198780283547
1,2,4,1,101,11.5874047086182
1,2,4,1,102,7.13126600955634
1,2,4,1,103,14.2705876927995
1,2,4,1,104,14.7107372433999
1,2,4,1,105,13.9109407386573
1,2,4,1,106,13.4120293935678
1,2,4,1,107,10.2824700333528
1,2,4,1,108,10.4026989286355
1,2,4,1,109,13.9616772438058
1,2,4,1,110,9.62884593163664
1,2,4,2,111,10.2005544507929
1,2,4,2,112,10.7567291544999
1,2,4,2,113,6.09723930737727
1,2,4,2,114,8.82596982008369
1,2,4,2,115,4.78293404582659
1,2,4,2,116,9.6327900995518
1,2,4,2,117,7.6024107579599
1,2,4,2,118,5.89948418736534
1,2,4,2,119,5.00026206369978
1,2,4,2,120,7.28321160073327
1,2,5,0,1,-7.92454682173771
1,2,5,0,2,3.37879109371059
1,2,5,0,3,-4.82586954998477
1,2,5,0,4,2.53066666880394
1,2,5,0,5,-3.68524323872281
1,2,5,0,6,-1.13358120287492
1,2,5,0,7,-1.43438315144456
1,2,5,0,8,-2.04183791589625
1,2,5,0,9,-2.05739313838035
1,2,5,0,10,0.824122834333921
1,2,5,0,11,-0.339597088476285
1,2,5,0,12,-1.5926089366412
1,2,5,0,13,-2.97918533407545
1,2,5,0,14,-2.00559962059149
1,2,5,0,15,-1.90006478793978
1,2,5,0,16,0.338389640822279
1,2,5,0,17,-3.44330275748425
1,2,5,0,18,-2.41307246445022
1,2,5,0,19,-2.99415241935603
1,2,5,0,20,-4.77515510373496
1,2,5,0,21,0.641266623428922
1,2,5,0,22,-1.81552562977648
1,2,5,0,23,0.62348462210264
1,2,5,0,24,0.567657486580819
1,2,5,0,25,-0.585353274685596
1,2,5,0,26,0.692179483915636
1,2,5,0,27,4.9006297144846
1,2,5,0,28,0.247481156533512
1,2,5,0,29,1.23765549277691
1,2,5,0,30,3.50862783136072
1,2,5,1,31,-1.61144456124542
1,2,5,1,32,0.368948147323456
1,2,5,1,33,2.18863423919039
1,2,5,1,34,-2.28829124788511
1,2,5,1,35,-1.08439468260844
1,2,5,1,36,1.11610512692302
1,2,5,1,37,-0.36981782874847
1,2,5,1,38,0.549884211171605
1,2,5,1,39,4.16133370944652
1,2,5,1,40,0.656248968710135
1,2,5,1,41,1.83480942274903
1,2,5,1,42,0.944840319143023
1,2,5,1,43,2.79045551040728
1,2,5,1,44,1.31375185621074
1,2,5,1,45,6.66662405244019
1,2,5,1,46,6.12578818885073
1,2,5,1,47,2.28513282237175
1,2,5,1,48,1.65490327527145
1,2,5,1,49,4.0575946424883
1,2,5,1,50,6.32078483757526
1,2,5,1,51,4.79966159227149
1,2,5,1,52,5.05460973318834
1,2,5,1,53,6.80342272290324
1,2,5,1,54,7.44151715583431
1,2,5,1,55,4.65082876336762
1,2,5,1,56,6.93085851587773
1,2,5,1,57,5.34448390410345
1,2,5,1,58,10.5297094266254
1,2,5,1,59,8.68102443844557
1,2,5,1,60,9.96691701364087
1,2,5,1,61,9.31046631085713
1,2,5,1,62,5.84220139160289
1,2,5,1,63,9.15386429641022
1,2,5,1,64,6.28741675353256
1,2,5,1,65,9.31069717345454
1,2,5,1,66,4.52585912276642
1,2,5,1,67,5.4361634345224
1,2,5,1,68,6.08545062166979
1,2,5,1,69,11.8199426357824
1,2,5,1,70,10.0404081684405
