ppid,trial_num,target_angles_degrees,target_exposure_index,clamp_magnitude,ballistic_duration,target_hit_time_fraction_of_bout,target_hit_arc_fraction_of_bout,target_hit_within_bout,ballistic_arc_length
413611575961,106,315.0,6,10.0,0.16583251953125,0.1950680898049319,0.4830415691984803,True,6.936431467405744
413611575961,107,45.0,6,5.0,0.1339111328125,0.12260711030082042,0.4455476086482535,True,6.243612477124048
413611575961,108,225.0,6,7.0,0.15008544921875,0.11793411956079707,0.3183612520225194,True,6.049080968236597
413611575961,109,315.0,7,10.0,0.2001953125,0.24847560975609756,0.6178803682500247,True,5.1934393652210735
413611575961,110,45.0,7,5.0,0.166748046875,0.19948755490483164,0.5047115517206026,True,7.153218037859797
413611575961,111,135.0,7,3.0,0.16668701171875,0.6023434639326254,0.9826723772077018,True,2.3492662091134346
413611575961,112,225.0,7,7.0,0.14892578125,0.21885245901639344,0.552694678836397,True,5.740201859331272
413611575961,113,315.0,8,10.0,0.166015625,0.20036764705882354,0.47524296074831324,True,6.076959592981919
413611575961,114,135.0,8,3.0,0.16705322265625,0.103032517354768,0.5690104288124977,True,3.5591835888040233
413611575961,115,45.0,8,5.0,0.1494140625,0.22099673202614378,0.5038553040225368,True,5.627129436530892
413611575961,116,225.0,8,7.0,0.099365234375,0.3261670761670762,0.8572237631939553,True,3.2311704986008234
11866547632,85,45.0,1,60.0,0.11700439453125,0.2822117892540428,0.34250010095100003,True,12.65119148390406
11866547632,86,225.0,1,70.0,0.11602783203125,0.28458705944239876,0.5163059864973959,True,11.128887506039499
11866547632,87,315.0,1,80.0,0.10003662109375,0.4996949359365467,0.7105776162578932,True,5.961954530858394
11866547632,88,135.0,1,90.0,0.10003662109375,0.17022574740695545,0.3630863129719288,True,6.720717101364159
11866547632,89,225.0,2,70.0,0.0989990234375,0.6670776818742293,0.9243685007598004,True,4.157874321081699
11866547632,90,45.0,2,60.0,0.11602783203125,0.27617043661230933,0.6743048018013866,True,7.965064040798917
11866547632,91,135.0,2,90.0,0.083984375,5.763081395348837,,False,1.4674802112376535
11866547632,92,315.0,2,80.0,0.14996337890625,0.21326821326821327,0.6014190889569945,True,7.854004034433433
11866547632,93,135.0,3,90.0,0.11700439453125,0.4272300469483568,0.7344623885148872,True,4.497078180111571
11866547632,94,225.0,3,70.0,0.11700439453125,0.4272300469483568,0.6944701325937902,True,6.266733681245099
11866547632,95,45.0,3,60.0,0.13397216796875,0.2460136674259681,0.5055502580575374,True,9.670845412321896
11866547632,96,315.0,3,80.0,0.1829833984375,0.27318212141427617,0.6529316561723552,True,6.88874209270223
11866547632,97,225.0,4,70.0,0.11700439453125,0.7183098591549296,0.9320327138347454,True,3.8995443028707846
11866547632,98,135.0,4,90.0,0.3170166015625,0.6278398151713516,0.6423477076872228,True,12.164620058416286
11866547632,99,45.0,4,60.0,0.0999755859375,0.3302808302808303,0.6966404345316222,True,6.085064420385073
11866547632,100,315.0,4,80.0,0.11602783203125,0.4224092582851131,0.8640110580870783,True,4.015812681499465
11866547632,101,45.0,5,60.0,0.11700439453125,0.14553990610328638,0.3265678976097693,True,10.166835234634219
11866547632,102,225.0,5,70.0,0.04998779296875,9.642246642246642,,False,1.0808383050074202
11866547632,103,135.0,5,90.0,0.13299560546875,0.8719596145020652,1.0,True,3.518036860771109
11866547632,104,315.0,5,80.0,0.0830078125,0.40955882352941175,0.7439578903006606,True,6.802871248411896
11866547632,105,225.0,6,70.0,0.11700439453125,0.4360980699008868,0.7144663657940021,True,4.845101183050602
11866547632,106,135.0,6,90.0,0.13299560546875,0.4960991280403855,0.7596714655951781,True,4.76986951480286
11866547632,107,315.0,6,80.0,0.0830078125,0.2051470588235294,0.29829012741542965,True,13.445372904150279
11866547632,108,45.0,6,60.0,0.11602783203125,0.28458705944239876,0.5463464300522215,True,6.011128671875833
11866547632,109,315.0,7,80.0,0.1829833984375,0.4533022014676451,0.7708953313388961,True,4.565156720958025
11866547632,110,135.0,7,90.0,0.14996337890625,0.3333333333333333,0.620266273404736,True,5.874644561569319
11866547632,111,225.0,7,70.0,0.10101318359375,5.12809667673716,,False,1.011817007044513
11866547632,112,45.0,7,60.0,0.11700439453125,0.12832550860719874,0.30599908786446006,True,11.95871574085915
11866547632,113,315.0,8,80.0,0.2659912109375,0.7517209729233594,0.6615504388177188,True,7.684429010015886
11866547632,114,225.0,8,70.0,0.11602783203125,3.5854813256180957,,False,1.7071654432587784
11866547632,115,135.0,8,90.0,0.14996337890625,0.3333333333333333,0.7666838314579401,True,5.6415272394258675
11866547632,116,45.0,8,60.0,0.11700439453125,0.28169014084507044,0.7104386752588944,True,3.1504327181672798
374362493632,85,135.0,1,105.0,0.14910888671875,0.22799836266884976,0.5800320642729054,True,4.282320479185795
374362493632,86,315.0,1,95.0,0.181640625,0.2775537634408602,0.5258779006871368,True,5.998188985084248
374362493632,87,225.0,1,115.0,0.1318359375,0.5055555555555555,0.8933819028131144,True,5.250393030136158
374362493632,88,45.0,1,125.0,0.1326904296875,0.13017479300827967,0.3365559216499858,True,10.921001409203704
374362493632,89,45.0,2,125.0,0.13250732421875,0.11837862736066329,0.39524415724313844,True,8.553013778150083
374362493632,90,135.0,2,105.0,0.14849853515625,0.5630908343608714,0.892306357928827,True,4.752215323909386
374362493632,91,315.0,2,95.0,0.13189697265625,0.4169366034243406,0.8015183164474976,True,4.569126254645424
374362493632,92,225.0,2,115.0,0.114990234375,0.2813163481953291,0.5305560531555598,True,3.536125081433715
374362493632,93,135.0,3,105.0,0.1483154296875,0.44238683127572015,0.7922915713172054,True,4.746610268386491
374362493632,94,45.0,3,125.0,0.11444091796875,0.5829333333333333,0.9748897453491198,True,2.5107335541945637
374362493632,95,315.0,3,95.0,0.14990234375,0.44666123778501626,0.7938736378281132,True,4.6687930857095505
374362493632,96,225.0,3,115.0,0.1475830078125,0.3333333333333333,0.6394078635455116,True,5.825851155650902
374362493632,97,315.0,4,95.0,0.13092041015625,5.193473193473194,,False,3.200605979563378
374362493632,98,225.0,4,115.0,0.13214111328125,0.2605080831408776,0.5960291627850062,True,8.900527991659468
374362493632,99,135.0,4,105.0,0.14959716796875,0.3333333333333333,0.6803736283423233,True,8.17333880034932
374362493632,100,45.0,4,125.0,0.1146240234375,0.28594249201277955,0.5305065573996584,True,8.10710746703596
374362493632,101,225.0,5,115.0,0.11468505859375,0.28419372006386373,0.6588678224550782,True,9.094566134739486
374362493632,102,315.0,5,95.0,0.131103515625,0.24348230912476723,0.5321920503712175,True,6.656280315286018
374362493632,103,135.0,5,105.0,0.03375244140625,1.9638336347197107,,False,1.885068805368259
374362493632,104,45.0,5,125.0,0.11669921875,0.3002092050209205,0.6326809988051099,True,4.880209899205798
374362493632,105,135.0,6,105.0,0.14776611328125,0.3329202808756712,0.5125240524972773,True,6.663437662095125
374362493632,106,225.0,6,115.0,0.13275146484375,0.2524137931034483,0.461016704623443,True,7.252649847368544
374362493632,107,45.0,6,125.0,0.11529541015625,0.14663843303335097,0.48337607598346094,True,5.299286038286023
374362493632,108,315.0,6,95.0,0.13623046875,0.257168458781362,0.5043485103001306,True,5.051981915609965
374362493632,109,225.0,7,115.0,0.1312255859375,0.25395348837209303,0.5930966629260438,True,8.85443884378767
374362493632,110,135.0,7,105.0,0.1171875,0.2911458333333333,0.5632880952912495,True,5.061550550465987
374362493632,111,45.0,7,125.0,0.1162109375,0.29516806722689076,0.6017427148435874,True,5.919874049921229
374362493632,112,315.0,7,95.0,0.115478515625,0.4233615221987315,0.7546105234240496,True,4.916779058993035
374362493632,113,45.0,8,125.0,0.0986328125,0.33292079207920794,0.7119581640507971,True,6.820036564421428
374362493632,114,315.0,8,95.0,0.09857177734375,0.3380804953560371,0.6469146376611534,True,6.752705130277656
374362493632,115,135.0,8,105.0,0.1134033203125,0.4488697524219591,0.8128212077726717,True,4.40685610796205
374362493632,116,225.0,8,115.0,0.11376953125,0.2934549356223176,0.5000112943405821,True,9.096964294754612
942594251362,85,135.0,1,30.0,0.19989013671875,0.3337404580152672,0.29012722500970833,True,13.742222050787946
942594251362,86,45.0,1,40.0,0.13299560546875,0.5006883891693438,0.8088636040062894,True,5.915084912041729
942594251362,87,225.0,1,20.0,0.166259765625,0.19970631424375918,0.3369160555687595,True,13.34354582689511
942594251362,88,315.0,1,50.0,0.16650390625,0.19941348973607037,0.20536888328931546,True,16.791352139578454
942594251362,89,315.0,2,50.0,0.14996337890625,0.3325193325193325,0.47666370356379256,True,12.042239968125235
942594251362,90,225.0,2,20.0,0.1998291015625,0.2501527183872938,0.2778924521671066,True,13.182222843544178
942594251362,91,45.0,2,40.0,0.16668701171875,0.19919443427316003,0.20043160257271833,True,20.474657183978902
942594251362,92,135.0,2,30.0,0.1666259765625,0.2,0.21527430000914666,True,21.5837070349735
942594251362,93,315.0,3,50.0,0.16650390625,0.20124633431085043,0.26666645697198443,True,16.608692022896783
942594251362,94,45.0,3,40.0,0.1832275390625,0.18021319120586277,0.25228012108791265,True,17.396933386807344
942594251362,95,135.0,3,30.0,0.16619873046875,0.20014689680499448,0.2952323290556538,True,12.091130142429606
942594251362,96,225.0,3,20.0,0.16656494140625,0.1978746793697325,0.33858340909512485,True,10.53877047027754
942594251362,97,135.0,4,30.0,0.14984130859375,0.33319755600814666,0.5509912151434984,True,7.126687116109299
942594251362,98,225.0,4,20.0,0.19952392578125,0.3340471092077088,0.5574498175214205,True,8.338333841614507
942594251362,99,315.0,4,50.0,0.16693115234375,0.29981718464351004,0.4578884928662477,True,8.15558131490852
942594251362,100,45.0,4,40.0,0.19989013671875,0.33404580152671753,0.34663029997104505,True,14.592432362812376
942594251362,101,135.0,5,30.0,0.166259765625,0.500367107195301,0.7028786526010591,True,5.116724297622025
942594251362,102,315.0,5,50.0,0.166259765625,0.6013215859030837,0.8760292679356925,True,4.154689390702558
942594251362,103,45.0,5,40.0,0.21649169921875,0.3848322526078376,0.584482391134863,True,7.336833910270562
942594251362,104,225.0,5,20.0,0.16650390625,0.3002199413489736,0.5210860990680014,True,7.9797455133826265
